date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,3,-3,0.0,8.7,1,1,80,01:53 PM,04:07 AM,07:44 AM,04:32 PM,-9,-1,-1,-1,3,11,57,0.0,1028,3,10,78,2
2020-01-08,5,-5,0.0,8.7,1,1,88,02:31 PM,05:15 AM,07:44 AM,04:33 PM,-5,-0,0,-0,2,4,68,0.0,1031,5,10,126,1
2020-01-09,5,-2,0.0,8.7,1,1,95,03:18 PM,06:21 AM,07:43 AM,04:35 PM,-3,0,1,0,5,18,76,0.0,1027,5,10,299,3
2020-01-10,5,-2,0.0,8.7,1,1,100,04:16 PM,07:24 AM,07:43 AM,04:36 PM,-1,-1,1,-1,11,43,88,0.0,1024,5,8,268,5
2020-01-11,5,-4,0.0,6.9,1,1,100,05:24 PM,08:19 AM,07:43 AM,04:37 PM,-1,-0,1,-0,6,46,89,0.0,1030,5,6,93,3
2020-01-12,4,-2,0.0,8.7,1,1,83,06:38 PM,09:06 AM,07:42 AM,04:38 PM,-2,-0,-0,-0,4,32,89,0.0,1030,4,6,94,2
2020-01-13,5,-3,0.0,8.7,1,1,76,07:56 PM,09:44 AM,07:42 AM,04:39 PM,-1,0,1,0,4,31,85,0.0,1026,5,9,264,2
2020-01-14,5,-2,0.0,8.7,1,1,69,09:14 PM,10:16 AM,07:41 AM,04:41 PM,-1,-1,1,-1,12,31,88,0.0,1025,5,6,256,6
2020-01-15,6,-2,0.0,5.2,1,1,61,10:30 PM,10:44 AM,07:41 AM,04:42 PM,-0,-1,1,-1,12,51,90,0.0,1027,6,5,254,6
2020-01-16,6,-1,0.0,8.7,1,1,54,11:46 PM,11:11 AM,07:40 AM,04:43 PM,-0,1,1,1,4,30,88,0.0,1031,6,7,146,2
2020-01-17,4,-2,0.0,5.2,1,1,47,No moonrise,11:36 AM,07:40 AM,04:45 PM,-1,1,1,1,2,56,91,0.0,1026,4,8,91,1
2020-01-18,4,-0,0.0,5.2,1,1,40,01:00 AM,12:02 PM,07:39 AM,04:46 PM,-0,0,1,0,5,81,92,2.7,1024,4,7,81,3
2020-01-19,4,-2,0.0,8.7,1,1,32,02:13 AM,12:31 PM,07:38 AM,04:47 PM,-1,-0,0,-0,6,71,89,0.0,1030,4,7,104,4
2020-01-20,1,-4,0.0,5.2,1,1,25,03:26 AM,01:05 PM,07:37 AM,04:49 PM,-3,-3,-1,-3,13,65,88,0.0,1043,1,7,94,8
2020-01-21,4,-4,0.0,6.9,1,1,18,04:36 AM,01:45 PM,07:37 AM,04:50 PM,-3,-0,-0,-0,3,27,85,0.0,1042,4,9,87,2
2020-01-22,7,-3,0.0,8.7,1,1,11,05:41 AM,02:31 PM,07:36 AM,04:52 PM,-4,0,1,0,7,20,70,0.0,1033,7,10,270,4
2020-01-23,4,-3,0.0,8.7,1,1,3,06:38 AM,03:25 PM,07:35 AM,04:53 PM,-2,-0,0,-0,5,16,84,0.0,1033,4,8,88,3
2020-01-24,8,-1,0.0,8.7,1,1,0,07:27 AM,04:23 PM,07:34 AM,04:54 PM,-3,1,1,1,7,6,77,0.0,1027,8,10,264,4
2020-01-25,6,-2,0.0,5.2,1,1,0,08:08 AM,05:27 PM,07:33 AM,04:56 PM,1,2,2,2,6,71,94,0.1,1024,6,5,262,3
2020-01-26,4,2,0.0,3.5,1,1,4,08:41 AM,06:30 PM,07:32 AM,04:57 PM,2,3,3,3,2,91,96,4.0,1021,4,5,77,1
2020-01-27,6,1,0.0,5.2,1,1,11,09:09 AM,07:34 PM,07:31 AM,04:59 PM,2,3,3,3,4,62,91,0.0,1018,6,9,225,2
2020-01-28,8,3,0.0,3.6,1,1,18,09:34 AM,08:36 PM,07:30 AM,05:00 PM,4,3,6,3,23,93,88,9.3,1007,8,7,231,13
2020-01-29,9,1,0.0,7.0,1,1,26,09:55 AM,09:39 PM,07:29 AM,05:02 PM,3,5,5,5,4,56,86,5.6,1010,9,10,241,3
2020-01-30,6,-1,0.0,8.7,1,1,33,10:16 AM,10:40 PM,07:28 AM,05:03 PM,1,2,3,2,8,37,86,0.0,1019,6,8,179,4
2020-01-31,8,2,0.0,8.7,1,1,37,10:36 AM,11:42 PM,07:27 AM,05:05 PM,3,3,5,3,19,40,87,0.0,1018,8,9,257,10
2020-02-01,8,2,0.0,3.7,1,1,49,10:58 AM,No moonset,07:25 AM,05:06 PM,5,4,6,4,12,67,93,0.5,1016,8,6,269,6
2020-02-02,10,4,0.0,5.4,1,1,57,11:22 AM,12:44 AM,07:24 AM,05:08 PM,4,5,6,5,14,59,87,0.0,1017,10,7,272,8
