date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,30,27,0.0,11.6,1,1,80,03:06 PM,02:45 AM,06:04 AM,06:05 PM,24,32,32,28,43,30,79,0.3,1011,30,10,75,33
2020-01-08,30,26,0.0,11.6,1,1,88,03:58 PM,03:37 AM,06:05 AM,06:05 PM,23,31,31,27,43,16,76,0.0,1011,30,10,75,33
2020-01-09,30,25,0.0,11.6,1,1,95,04:54 PM,04:31 AM,06:05 AM,06:06 PM,22,30,30,27,40,22,76,0.0,1010,30,10,71,31
2020-01-10,29,26,0.0,11.6,1,1,100,05:53 PM,05:30 AM,06:05 AM,06:06 PM,23,30,30,27,39,23,78,0.0,1010,29,10,80,30
2020-01-11,28,26,0.0,11.6,1,1,100,06:53 PM,06:29 AM,06:06 AM,06:06 PM,23,31,31,27,31,34,81,0.0,1009,28,10,91,23
2020-01-12,29,27,0.0,10.2,1,1,83,07:52 PM,07:28 AM,06:06 AM,06:07 PM,24,31,31,28,34,61,79,1.1,1010,29,10,88,25
2020-01-13,30,27,0.0,10.2,1,1,76,08:49 PM,08:25 AM,06:06 AM,06:07 PM,23,31,31,27,53,46,76,11.3,1011,30,9,68,36
2020-01-14,29,26,0.0,10.2,1,1,69,09:44 PM,09:20 AM,06:07 AM,06:08 PM,22,30,30,27,53,33,75,0.2,1010,29,10,68,38
2020-01-15,30,26,0.0,10.2,1,1,61,10:36 PM,10:11 AM,06:07 AM,06:08 PM,22,29,29,27,51,30,73,0.2,1011,30,10,63,37
2020-01-16,29,24,0.0,11.6,1,1,54,11:28 PM,11:01 AM,06:07 AM,06:08 PM,19,28,28,26,51,3,67,0.0,1011,29,10,63,37
2020-01-17,29,23,0.0,11.6,1,1,47,No moonrise,11:50 AM,06:08 AM,06:09 PM,19,27,27,26,51,2,68,0.0,1011,29,10,59,37
