date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,31,21,0.0,12.2,1,1,80,03:59 PM,02:19 AM,05:23 AM,07:03 PM,11,26,26,26,24,35,41,3.0,1011,31,10,31,18
2020-01-08,29,21,0.0,13.8,1,1,88,04:58 PM,03:03 AM,05:24 AM,07:03 PM,12,26,26,25,18,42,43,0.2,1012,29,10,202,14
2020-01-09,28,20,0.0,8.6,1,1,95,05:58 PM,03:52 AM,05:25 AM,07:04 PM,17,25,25,24,17,80,65,28.6,1012,28,8,246,12
2020-01-10,27,20,0.0,9.8,1,1,100,06:58 PM,04:47 AM,05:26 AM,07:04 PM,16,25,25,23,26,71,64,34.4,1015,27,7,82,17
2020-01-11,27,18,0.0,11.0,1,1,100,07:54 PM,05:49 AM,05:26 AM,07:04 PM,15,24,24,23,17,68,63,14.2,1016,27,9,17,12
2020-01-12,31,20,0.0,13.8,1,1,83,08:45 PM,06:53 AM,05:27 AM,07:04 PM,14,26,26,25,12,29,53,8.0,1015,31,9,302,9
2020-01-13,29,13,0.0,12.1,1,1,76,09:33 PM,07:59 AM,05:28 AM,07:04 PM,15,22,22,21,16,66,63,33.6,1014,29,9,123,12
2020-01-14,28,19,0.0,13.8,1,1,69,10:15 PM,09:05 AM,05:29 AM,07:04 PM,14,24,24,23,12,30,57,0.5,1014,28,10,163,9
2020-01-15,31,18,0.0,13.8,1,1,61,10:55 PM,10:08 AM,05:29 AM,07:04 PM,10,25,25,25,17,9,43,0.0,1015,31,10,104,13
2020-01-16,31,20,0.0,13.7,1,1,54,11:34 PM,11:11 AM,05:30 AM,07:04 PM,8,25,25,25,16,3,37,0.0,1015,31,10,107,12
2020-01-17,31,19,0.0,13.7,1,1,47,No moonrise,12:12 PM,05:31 AM,07:03 PM,11,25,25,26,12,8,42,0.0,1011,31,10,348,9
2020-01-18,23,20,0.0,12.1,1,1,40,12:12 AM,01:13 PM,05:32 AM,07:03 PM,14,23,23,22,10,58,62,6.0,1010,23,9,211,8
2020-01-19,28,19,0.0,10.9,1,1,32,12:52 AM,02:14 PM,05:33 AM,07:03 PM,15,23,23,23,24,61,63,20.2,1009,28,9,92,17
2020-01-20,26,16,0.0,13.7,1,1,25,01:35 AM,03:15 PM,05:33 AM,07:03 PM,13,22,22,22,18,43,58,4.1,1014,26,10,65,14
2020-01-21,30,18,0.0,12.1,1,1,18,02:20 AM,04:14 PM,05:34 AM,07:03 PM,14,23,23,23,10,62,60,5.6,1014,30,10,261,8
2020-01-22,30,19,0.0,13.7,1,1,11,03:09 AM,05:12 PM,05:35 AM,07:03 PM,13,24,24,24,16,19,53,0.4,1011,30,10,284,13
2020-01-23,31,21,0.0,13.3,1,1,3,04:02 AM,06:06 PM,05:36 AM,07:02 PM,12,26,26,25,15,25,47,1.5,1011,31,10,263,11
2020-01-24,28,18,0.0,10.9,1,1,0,04:57 AM,06:55 PM,05:36 AM,07:02 PM,14,22,22,22,12,57,62,12.2,1016,28,9,351,9
2020-01-25,27,18,0.0,10.9,1,1,0,05:52 AM,07:40 PM,05:37 AM,07:02 PM,14,23,23,22,13,53,61,17.6,1015,27,9,303,9
2020-01-26,30,19,0.0,13.3,1,1,4,06:47 AM,08:20 PM,05:38 AM,07:01 PM,13,25,25,24,15,24,54,2.5,1013,30,10,267,11
2020-01-27,32,21,0.0,13.6,1,1,11,07:42 AM,08:56 PM,05:39 AM,07:01 PM,10,28,28,27,15,11,42,0.1,1013,32,10,289,11
2020-01-28,27,17,0.0,13.3,1,1,18,08:34 AM,09:30 PM,05:40 AM,07:01 PM,12,23,23,22,17,44,57,0.3,1016,27,10,298,14
2020-01-29,35,21,0.0,13.6,1,1,26,09:25 AM,10:02 PM,05:40 AM,07:00 PM,9,27,27,27,9,2,37,0.0,1015,35,10,287,7
2020-01-30,31,22,0.0,13.6,1,1,33,10:15 AM,10:33 PM,05:41 AM,07:00 PM,9,26,26,26,19,15,37,0.2,1017,31,10,27,14
