date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,5,1,0.0,3.7,1,1,80,02:33 PM,03:57 AM,07:47 AM,05:29 PM,3,2,4,2,13,100,95,57.2,1014,5,6,48,8
2020-01-08,7,2,0.0,3.7,1,1,88,03:13 PM,05:00 AM,07:47 AM,05:30 PM,1,1,4,1,20,85,80,18.0,1010,7,8,288,14
2020-01-09,3,-3,0.0,8.7,1,1,95,04:01 PM,06:03 AM,07:47 AM,05:31 PM,-7,-3,1,-3,13,8,54,0.0,1023,3,10,307,11
2020-01-10,4,-1,0.0,5.4,1,1,100,04:56 PM,07:06 AM,07:47 AM,05:32 PM,-9,1,2,1,4,36,47,0.0,1024,4,10,301,3
2020-01-11,4,1,0.0,8.7,1,1,100,06:00 PM,08:04 AM,07:47 AM,05:33 PM,-6,1,2,1,7,39,55,0.0,1020,4,10,299,6
2020-01-12,2,-4,0.0,7.0,1,1,83,07:09 PM,08:56 AM,07:47 AM,05:34 PM,-8,-2,0,-2,10,51,53,0.0,1018,2,10,296,9
2020-01-13,1,-3,0.0,8.7,1,1,76,08:20 PM,09:42 AM,07:47 AM,05:35 PM,-11,-5,-1,-5,14,10,48,0.0,1022,1,10,302,12
2020-01-14,2,-2,0.0,8.7,1,1,69,09:32 PM,10:22 AM,07:47 AM,05:36 PM,-13,-2,-0,-2,6,18,39,0.0,1026,2,10,257,5
2020-01-15,3,-5,0.0,8.7,1,1,61,10:42 PM,10:57 AM,07:46 AM,05:37 PM,-10,-1,1,-1,8,2,42,0.0,1028,3,10,299,7
2020-01-16,1,-2,0.0,7.0,1,1,54,11:52 PM,11:31 AM,07:46 AM,05:38 PM,-13,-2,-0,-2,6,52,38,0.0,1028,1,10,293,5
2020-01-17,2,-1,0.0,5.4,1,1,47,No moonrise,12:02 PM,07:46 AM,05:39 PM,-14,-0,0,-0,4,80,34,0.0,1024,2,10,164,3
2020-01-18,7,-0,0.0,8.7,1,1,40,01:00 AM,12:34 PM,07:45 AM,05:40 PM,-10,2,3,2,5,37,39,0.0,1022,7,10,290,4
2020-01-19,5,0,0.0,3.7,1,1,32,02:07 AM,01:08 PM,07:45 AM,05:41 PM,-5,-0,2,-0,14,63,57,0.4,1019,5,10,252,11
2020-01-20,4,-2,0.0,8.7,1,1,25,03:14 AM,01:46 PM,07:44 AM,05:42 PM,-7,-1,2,-1,17,10,51,0.0,1022,4,10,286,14
2020-01-21,4,-2,0.0,8.7,1,1,18,04:19 AM,02:27 PM,07:44 AM,05:43 PM,-15,-0,1,-0,5,22,31,0.0,1030,4,10,101,5
2020-01-22,7,1,0.3,7.1,1,1,11,05:23 AM,03:15 PM,07:43 AM,05:44 PM,-11,3,3,3,4,51,34,0.3,1027,7,9,69,4
2020-01-23,9,2,0.0,7.1,1,1,3,06:21 AM,04:07 PM,07:43 AM,05:45 PM,-5,4,5,4,9,40,50,0.0,1024,9,10,324,7
2020-01-24,6,1,0.0,8.7,1,1,0,07:14 AM,05:03 PM,07:42 AM,05:46 PM,-3,2,4,2,6,43,66,0.0,1030,6,10,346,5
2020-01-25,8,2,0.0,5.4,1,1,0,07:59 AM,06:02 PM,07:42 AM,05:47 PM,-0,4,5,4,6,50,69,0.0,1030,8,10,182,4
2020-01-26,9,2,0.0,5.4,1,1,4,08:39 AM,07:02 PM,07:41 AM,05:48 PM,-2,4,5,4,13,39,62,0.0,1028,9,10,49,9
2020-01-27,7,4,0.4,3.8,1,1,11,09:13 AM,08:00 PM,07:40 AM,05:50 PM,-2,1,5,1,20,94,60,0.6,1023,7,9,46,15
2020-01-28,9,4,0.0,8.7,1,1,18,09:44 AM,08:58 PM,07:40 AM,05:51 PM,-1,4,6,4,15,61,62,2.3,1019,9,10,123,12
2020-01-29,8,3,0.0,3.8,1,1,26,10:11 AM,09:55 PM,07:39 AM,05:52 PM,-2,4,6,4,8,89,59,0.0,1017,8,10,192,6
2020-01-30,9,3,0.0,7.1,1,1,33,10:37 AM,10:50 PM,07:38 AM,05:53 PM,-3,5,6,5,7,54,53,0.0,1015,9,10,176,5
2020-01-31,6,1,0.0,3.8,1,1,37,11:03 AM,11:47 PM,07:38 AM,05:54 PM,-1,3,4,3,7,56,68,0.4,1019,6,10,226,5
2020-02-01,8,2,0.0,7.1,1,1,49,11:29 AM,No moonset,07:37 AM,05:55 PM,-5,3,5,3,9,16,50,0.0,1024,8,10,256,8
2020-02-02,5,0,0.0,3.8,1,1,57,11:57 AM,12:43 AM,07:36 AM,05:56 PM,-9,1,3,1,7,73,43,0.0,1026,5,10,253,6
2020-02-03,3,0,0.0,8.7,1,1,64,12:28 PM,01:42 AM,07:35 AM,05:57 PM,-10,-2,2,-2,15,22,45,0.0,1026,3,10,296,13
2020-02-04,3,-3,0.4,8.7,1,1,72,01:05 PM,02:42 AM,07:34 AM,05:58 PM,-9,-1,1,-1,12,32,49,0.5,1027,3,9,214,10
2020-02-05,-4,-8,0.0,8.7,1,1,79,01:48 PM,03:45 AM,07:33 AM,05:59 PM,-20,-12,-6,-12,19,0,34,0.0,1030,-4,10,310,16
2020-02-06,-1,-6,0.0,10.7,1,1,87,02:38 PM,04:46 AM,07:32 AM,06:00 PM,-22,-5,-3,-5,5,7,23,0.0,1034,-1,10,245,4
2020-02-07,1,-3,0.0,10.7,1,1,95,03:38 PM,05:47 AM,07:31 AM,06:02 PM,-15,-3,-1,-3,6,30,38,0.0,1030,1,10,285,5
2020-02-08,3,-3,0.0,10.7,1,1,100,04:45 PM,06:42 AM,07:30 AM,06:03 PM,-8,-3,1,-3,14,9,54,0.0,1027,3,10,308,12
2020-02-09,3,1,0.0,10.0,1,1,100,05:57 PM,07:32 AM,07:29 AM,06:04 PM,-7,1,2,1,8,17,50,0.0,1026,3,10,251,7
2020-02-10,10,2,0.0,10.8,1,1,83,07:12 PM,08:15 AM,07:28 AM,06:05 PM,-1,5,6,5,5,17,61,0.0,1022,10,10,278,4
2020-02-11,15,3,0.0,10.8,1,1,75,08:25 PM,08:54 AM,07:27 AM,06:06 PM,-4,9,10,9,5,9,43,0.0,1027,15,10,153,4
2020-02-12,5,-1,0.0,5.4,1,1,68,09:38 PM,09:29 AM,07:26 AM,06:07 PM,1,4,5,4,7,99,72,6.8,1019,5,9,69,5
2020-02-13,13,5,0.0,10.8,1,1,60,10:48 PM,10:02 AM,07:25 AM,06:08 PM,5,8,8,8,7,28,81,0.2,1018,13,8,219,5
2020-02-14,17,5,0.0,10.9,1,1,53,11:58 PM,10:35 AM,07:24 AM,06:09 PM,5,10,10,10,4,18,72,0.0,1021,17,9,180,3
2020-02-15,14,7,0.0,8.5,1,1,45,No moonrise,11:09 AM,07:23 AM,06:10 PM,5,10,10,10,9,38,69,0.8,1020,14,10,155,7
2020-02-16,-0,-7,15.6,5.4,1,1,38,01:07 AM,11:46 AM,07:22 AM,06:11 PM,-4,-5,-0,-5,23,100,77,21.1,1013,-0,4,272,19
2020-02-17,-3,-6,0.6,7.0,1,1,30,02:13 AM,12:26 PM,07:20 AM,06:12 PM,-12,-11,-4,-11,24,77,56,0.7,1015,-3,8,292,19
2020-02-18,3,-5,0.0,10.9,1,1,22,03:18 AM,01:12 PM,07:19 AM,06:13 PM,-13,-6,-1,-6,13,1,39,0.0,1024,3,10,287,11
2020-02-19,5,-0,0.0,10.1,1,1,15,04:16 AM,02:02 PM,07:18 AM,06:14 PM,-7,1,3,1,4,28,50,0.0,1029,5,10,164,3
2020-02-20,11,2,0.0,11.0,1,1,7,05:10 AM,02:57 PM,07:17 AM,06:15 PM,-2,6,6,6,4,11,57,0.0,1032,11,10,220,3
2020-02-21,11,3,0.0,5.5,1,1,0,05:57 AM,03:54 PM,07:16 AM,06:16 PM,-1,6,7,6,10,64,58,0.4,1031,11,10,173,7
2020-02-22,7,1,0.0,7.0,1,1,0,06:38 AM,04:53 PM,07:14 AM,06:17 PM,-3,1,5,1,29,60,58,3.4,1023,7,10,277,22
2020-02-23,7,0,0.0,11.1,1,1,0,07:14 AM,05:52 PM,07:13 AM,06:18 PM,-6,2,5,2,12,1,44,0.0,1028,7,10,252,11
2020-02-24,11,3,0.0,10.1,1,1,0,07:45 AM,06:49 PM,07:12 AM,06:19 PM,-3,6,7,6,7,34,52,0.0,1024,11,10,191,6
2020-02-25,6,-2,0.0,5.6,1,1,8,08:13 AM,07:47 PM,07:10 AM,06:20 PM,2,3,5,3,14,88,76,33.4,1018,6,8,64,10
2020-02-26,11,3,0.0,10.1,1,1,15,08:39 AM,08:43 PM,07:09 AM,06:22 PM,1,5,7,5,11,33,66,0.0,1022,11,10,237,8
2020-02-27,13,4,0.0,11.2,1,1,23,09:05 AM,09:39 PM,07:08 AM,06:23 PM,-1,7,7,7,5,23,58,0.0,1028,13,10,111,4
2020-02-28,5,-4,0.0,5.6,1,1,30,09:31 AM,10:35 PM,07:06 AM,06:24 PM,1,3,4,3,4,94,75,2.7,1024,5,10,134,3
2020-02-29,14,5,0.0,11.2,1,1,38,09:58 AM,11:33 PM,07:05 AM,06:25 PM,1,8,9,8,5,42,63,0.4,1018,14,8,238,5
2020-03-01,11,7,0.0,10.1,1,1,44,10:27 AM,No moonset,07:03 AM,06:26 PM,-1,7,8,7,8,47,51,0.0,1018,11,10,202,7
2020-03-02,8,1,0.0,10.1,1,1,51,11:01 AM,12:31 AM,07:02 AM,06:27 PM,-7,1,4,1,20,31,43,0.1,1022,8,10,306,16
2020-03-03,9,6,0.0,10.1,1,1,58,11:40 AM,01:31 AM,07:01 AM,06:28 PM,-2,6,8,6,9,19,51,0.0,1024,9,10,185,8
2020-03-04,5,1,0.1,10.2,1,1,65,12:25 PM,02:31 AM,06:59 AM,06:28 PM,-5,-1,3,-1,24,42,56,0.1,1021,5,9,280,20
2020-03-05,7,0,0.0,11.6,1,1,73,01:19 PM,03:31 AM,06:58 AM,06:29 PM,-10,-0,3,-0,17,0,38,0.0,1024,7,10,292,14
2020-03-06,10,4,0.0,11.6,1,1,80,02:21 PM,04:27 AM,06:56 AM,06:30 PM,-10,7,7,7,4,3,29,0.0,1023,10,10,227,4
2020-03-07,12,4,0.0,11.6,1,1,87,03:30 PM,05:19 AM,06:55 AM,06:31 PM,-7,8,8,8,5,32,33,0.0,1019,12,10,195,4
2020-03-08,19,6,0.0,11.6,1,1,95,04:43 PM,06:05 AM,06:53 AM,06:32 PM,0,13,13,13,3,1,42,0.0,1019,19,10,181,3
2020-03-09,15,8,0.0,10.2,1,1,100,05:58 PM,06:45 AM,06:52 AM,06:33 PM,-2,12,12,12,6,41,38,0.0,1016,15,10,283,4
2020-03-10,8,0,0.0,5.9,1,1,100,07:13 PM,07:23 AM,06:50 AM,06:34 PM,3,6,8,6,15,99,71,13.5,1008,8,8,315,11
2020-03-11,7,1,0.0,11.6,1,1,84,08:27 PM,07:57 AM,06:49 AM,06:35 PM,-10,0,4,0,25,1,34,0.0,1016,7,10,289,19
2020-03-12,12,4,0.0,11.6,1,1,76,09:40 PM,08:31 AM,06:47 AM,06:36 PM,-4,6,8,6,15,23,44,0.0,1021,12,10,202,12
2020-03-13,7,4,0.0,10.2,1,1,69,10:52 PM,09:06 AM,06:46 AM,06:37 PM,-10,3,6,3,18,56,38,1.0,1022,7,9,307,15
2020-03-14,8,3,0.0,11.6,1,1,62,No moonrise,09:43 AM,06:44 AM,06:38 PM,-8,3,5,3,17,5,38,0.0,1016,8,10,256,14
2020-03-15,8,3,0.0,10.2,1,1,55,12:03 AM,10:23 AM,06:43 AM,06:39 PM,-8,1,5,1,27,27,41,0.0,1010,8,10,302,22
2020-03-16,8,3,0.0,11.6,1,1,47,01:10 AM,11:08 AM,06:41 AM,06:40 PM,-8,3,5,3,13,2,37,0.0,1021,8,10,196,11
