date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,13,8,0.0,9.7,1,1,80,03:23 PM,05:09 AM,08:38 AM,06:04 PM,-2,10,10,10,5,12,45,0.0,1031,13,10,93,4
2020-01-08,15,6,0.0,9.7,1,1,88,04:04 PM,06:13 AM,08:38 AM,06:05 PM,-3,10,10,10,7,16,40,0.0,1029,15,10,46,4
2020-01-09,14,8,0.0,9.7,1,1,95,04:54 PM,07:18 AM,08:37 AM,06:06 PM,4,9,10,9,9,11,68,0.0,1027,14,10,147,6
2020-01-10,11,6,0.0,9.7,1,1,100,05:53 PM,08:19 AM,08:37 AM,06:07 PM,1,7,9,7,15,8,58,0.0,1029,11,10,14,12
2020-01-11,13,5,0.0,9.7,1,1,100,06:59 PM,09:15 AM,08:37 AM,06:08 PM,-0,7,9,7,7,1,55,0.0,1032,13,10,66,6
2020-01-12,13,6,0.0,9.7,1,1,83,08:11 PM,10:04 AM,08:37 AM,06:09 PM,-2,8,8,8,4,3,49,0.0,1031,13,10,110,3
2020-01-13,8,2,0.0,6.5,1,1,76,09:24 PM,10:45 AM,08:37 AM,06:10 PM,-2,5,6,5,6,45,58,0.0,1027,8,10,209,5
2020-01-14,8,3,0.0,9.8,1,1,69,10:37 PM,11:22 AM,08:36 AM,06:11 PM,1,3,5,3,11,18,76,0.0,1024,8,10,233,8
2020-01-15,9,5,0.0,4.9,1,1,61,11:50 PM,11:54 AM,08:36 AM,06:12 PM,3,5,7,5,10,95,80,0.0,1026,9,10,206,7
2020-01-16,13,8,0.0,9.8,1,1,54,No moonrise,12:24 PM,08:35 AM,06:13 PM,5,8,9,8,12,64,75,0.0,1027,13,10,186,8
2020-01-17,11,7,0.0,9.8,1,1,47,01:00 AM,12:54 PM,08:35 AM,06:14 PM,4,6,9,6,20,47,74,0.4,1031,11,9,251,15
2020-01-18,9,7,0.0,4.9,1,1,40,02:10 AM,01:25 PM,08:35 AM,06:15 PM,6,6,8,6,19,94,86,3.5,1027,9,10,206,14
2020-01-19,10,3,0.0,9.8,1,1,32,03:19 AM,01:59 PM,08:34 AM,06:16 PM,-4,3,7,3,34,44,51,0.9,1023,10,10,134,25
2020-01-20,6,2,0.0,6.6,1,1,25,04:27 AM,02:36 PM,08:33 AM,06:18 PM,-8,-2,4,-2,46,57,43,1.0,1026,6,8,46,34
2020-01-21,9,3,0.0,4.9,1,1,18,05:34 AM,03:19 PM,08:33 AM,06:19 PM,0,1,6,1,50,90,67,13.1,1020,9,9,44,37
2020-01-22,10,5,0.0,4.9,1,1,11,06:36 AM,04:07 PM,08:32 AM,06:20 PM,2,3,7,3,28,80,74,10.9,1018,10,9,77,19
2020-01-23,11,4,0.0,9.9,1,1,3,07:33 AM,05:01 PM,08:32 AM,06:21 PM,2,5,7,5,15,42,73,0.0,1019,11,10,84,10
2020-01-24,10,6,0.0,5.0,1,1,0,08:22 AM,05:59 PM,08:31 AM,06:22 PM,5,6,7,6,12,88,83,5.2,1021,10,9,143,8
2020-01-25,9,6,0.0,5.0,1,1,0,09:05 AM,06:59 PM,08:30 AM,06:24 PM,5,5,7,5,17,99,86,17.0,1018,9,7,167,12
2020-01-26,11,6,0.0,10.0,1,1,4,09:41 AM,08:00 PM,08:30 AM,06:25 PM,4,6,8,6,17,25,78,1.0,1023,11,10,252,12
2020-01-27,9,5,0.0,5.0,1,1,11,10:12 AM,09:00 PM,08:29 AM,06:26 PM,4,3,7,3,25,66,85,0.0,1025,9,10,236,18
2020-01-28,13,8,0.0,6.6,1,1,18,10:40 AM,09:59 PM,08:28 AM,06:27 PM,8,7,10,7,32,79,89,0.4,1023,13,9,247,22
2020-01-29,12,8,0.0,6.7,1,1,26,11:05 AM,10:57 PM,08:27 AM,06:28 PM,7,7,10,7,23,62,86,0.0,1025,12,10,238,16
2020-01-30,12,8,0.0,6.7,1,1,33,11:30 AM,11:54 PM,08:26 AM,06:30 PM,7,7,9,7,22,75,85,0.0,1025,12,10,243,16
2020-01-31,15,9,0.0,10.0,1,1,37,11:54 AM,No moonset,08:25 AM,06:31 PM,9,9,11,9,18,65,86,0.6,1025,15,8,244,12
2020-02-01,17,11,0.0,10.0,1,1,49,12:18 PM,12:52 AM,08:24 AM,06:32 PM,10,11,12,11,23,53,87,0.2,1025,17,10,239,16
2020-02-02,16,9,0.0,10.0,1,1,57,12:46 PM,01:52 AM,08:23 AM,06:33 PM,10,12,12,12,5,42,87,0.0,1029,16,9,102,4
