date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,30,22,0.0,11.6,1,1,80,03:00 PM,02:57 AM,06:23 AM,06:02 PM,22,28,28,25,19,49,84,0.2,1012,30,7,54,13
2020-01-08,30,20,0.0,11.6,1,1,88,03:50 PM,03:50 AM,06:24 AM,06:02 PM,20,26,26,24,19,18,80,0.0,1012,30,7,48,12
2020-01-09,30,20,0.0,11.6,1,1,95,04:44 PM,04:45 AM,06:24 AM,06:03 PM,20,25,25,24,15,9,79,0.0,1012,30,8,50,9
2020-01-10,29,20,0.0,11.6,1,1,100,05:43 PM,05:44 AM,06:24 AM,06:03 PM,20,25,25,24,15,16,80,0.0,1012,29,8,60,10
2020-01-11,29,20,0.0,5.9,1,1,100,06:43 PM,06:43 AM,06:25 AM,06:04 PM,21,26,26,24,18,53,83,2.5,1012,29,8,35,12
2020-01-12,29,21,0.0,11.6,1,1,83,07:45 PM,07:42 AM,06:25 AM,06:04 PM,21,27,27,24,18,40,81,0.1,1011,29,7,50,12
2020-01-13,29,20,0.0,11.6,1,1,76,08:44 PM,08:37 AM,06:25 AM,06:05 PM,19,25,25,23,17,5,78,0.0,1011,29,8,47,11
2020-01-14,30,19,0.0,11.6,1,1,69,09:42 PM,09:29 AM,06:26 AM,06:05 PM,18,24,24,23,15,3,73,0.0,1011,30,10,47,9
2020-01-15,28,19,0.0,11.6,1,1,61,10:37 PM,10:18 AM,06:26 AM,06:06 PM,18,25,25,23,14,12,76,0.0,1011,28,10,57,9
2020-01-16,30,20,0.0,8.8,1,1,54,11:32 PM,11:05 AM,06:26 AM,06:06 PM,20,27,27,25,12,43,80,0.9,1011,30,10,65,8
2020-01-17,30,22,0.0,8.8,1,1,47,No moonrise,11:52 AM,06:26 AM,06:06 PM,22,28,28,25,13,61,87,8.1,1011,30,9,79,8
2020-01-18,31,22,0.0,8.8,1,1,40,12:24 AM,12:37 PM,06:26 AM,06:07 PM,22,29,29,26,19,61,82,0.9,1010,31,7,77,13
2020-01-19,30,23,0.0,7.3,1,1,32,01:18 AM,01:25 PM,06:27 AM,06:07 PM,22,28,28,25,19,56,83,1.7,1011,30,10,54,13
2020-01-20,31,22,0.0,11.6,1,1,25,02:12 AM,02:14 PM,06:27 AM,06:08 PM,21,28,28,26,19,18,79,0.0,1012,31,8,64,13
2020-01-21,30,22,0.0,8.8,1,1,18,03:08 AM,03:06 PM,06:27 AM,06:08 PM,22,28,28,26,20,49,80,0.3,1013,30,8,55,13
2020-01-22,28,23,0.0,5.9,1,1,11,04:04 AM,03:59 PM,06:27 AM,06:09 PM,23,28,28,25,22,67,89,14.6,1013,28,5,52,13
2020-01-23,30,23,0.0,10.2,1,1,3,04:59 AM,04:53 PM,06:27 AM,06:09 PM,22,28,28,26,20,71,82,0.5,1012,30,7,59,14
2020-01-24,30,22,0.0,7.3,1,1,0,05:52 AM,05:46 PM,06:27 AM,06:10 PM,22,28,28,25,21,65,82,1.1,1012,30,8,59,14
2020-01-25,31,21,0.0,11.6,1,1,0,06:42 AM,06:38 PM,06:27 AM,06:10 PM,21,26,26,25,19,44,81,0.2,1012,31,7,55,12
