date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,30,17,0.0,8.7,1,1,80,02:40 PM,02:56 AM,06:18 AM,05:34 PM,-9,23,23,23,32,4,12,0.0,1015,30,10,97,21
2020-01-08,29,18,0.0,8.7,1,1,88,03:29 PM,03:51 AM,06:19 AM,05:34 PM,-8,22,22,23,39,0,12,0.0,1015,29,10,182,27
2020-01-09,26,14,0.0,8.7,1,1,95,04:23 PM,04:48 AM,06:19 AM,05:35 PM,-6,20,20,20,36,0,19,0.0,1016,26,10,180,25
2020-01-10,24,12,0.0,8.7,1,1,100,05:22 PM,05:48 AM,06:19 AM,05:35 PM,-6,16,17,16,39,0,20,0.0,1017,24,10,181,27
2020-01-11,24,12,0.0,8.7,1,1,100,06:23 PM,06:46 AM,06:19 AM,05:36 PM,-7,16,18,16,39,0,20,0.0,1018,24,10,18,26
2020-01-12,27,12,0.0,8.7,1,1,83,07:26 PM,07:43 AM,06:19 AM,05:37 PM,-3,18,19,18,36,0,23,0.0,1017,27,10,30,23
2020-01-13,29,16,0.0,8.7,1,1,76,08:28 PM,08:36 AM,06:20 AM,05:37 PM,-2,22,22,22,33,0,23,0.0,1015,29,10,36,20
2020-01-14,33,17,0.0,8.7,1,1,69,09:28 PM,09:25 AM,06:20 AM,05:38 PM,1,24,24,25,31,0,24,0.0,1013,33,10,48,19
2020-01-15,35,19,0.0,8.7,1,1,61,10:26 PM,10:11 AM,06:20 AM,05:38 PM,3,26,26,27,29,0,26,0.0,1011,35,10,44,17
2020-01-16,34,22,0.0,8.7,1,1,54,11:23 PM,10:55 AM,06:20 AM,05:39 PM,2,27,27,27,23,0,20,0.0,1011,34,10,9,13
2020-01-17,32,20,0.0,8.7,1,1,47,No moonrise,11:38 AM,06:20 AM,05:40 PM,2,25,25,25,38,0,24,0.0,1013,32,10,266,25
2020-01-18,29,17,0.0,8.7,1,1,40,12:19 AM,12:22 PM,06:20 AM,05:40 PM,-1,22,22,22,41,0,23,0.0,1016,29,10,178,29
2020-01-19,28,15,0.0,8.7,1,1,32,01:15 AM,01:07 PM,06:20 AM,05:41 PM,1,21,21,21,42,0,28,0.0,1016,28,10,11,29
2020-01-20,28,15,0.0,8.7,1,1,25,02:12 AM,01:54 PM,06:20 AM,05:41 PM,-4,21,21,21,42,0,19,0.0,1017,28,10,15,29
2020-01-21,27,14,0.0,8.7,1,1,18,03:10 AM,02:44 PM,06:20 AM,05:42 PM,-6,20,20,20,41,0,18,0.0,1017,27,10,10,28
2020-01-22,26,14,0.0,8.7,1,1,11,04:06 AM,03:37 PM,06:20 AM,05:42 PM,-6,19,19,19,42,0,18,0.0,1016,26,10,8,29
2020-01-23,25,12,0.0,8.7,1,1,3,05:02 AM,04:30 PM,06:20 AM,05:43 PM,-7,17,18,17,41,0,19,0.0,1018,25,10,13,27
2020-01-24,25,12,0.0,8.7,1,1,0,05:55 AM,05:25 PM,06:20 AM,05:43 PM,-5,17,18,17,37,0,21,0.0,1019,25,10,22,24
2020-01-25,27,13,0.0,8.7,1,1,0,06:43 AM,06:18 PM,06:20 AM,05:44 PM,-7,19,20,19,39,0,17,0.0,1020,27,10,24,25
2020-01-26,28,14,0.0,8.7,1,1,4,07:29 AM,07:10 PM,06:20 AM,05:45 PM,-3,20,20,20,41,0,22,0.0,1018,28,10,33,26
2020-01-27,28,15,0.0,8.7,1,1,11,08:10 AM,07:59 PM,06:20 AM,05:45 PM,-4,21,21,21,34,0,20,0.0,1015,28,10,23,21
2020-01-28,29,16,0.0,8.7,1,1,18,08:48 AM,08:47 PM,06:20 AM,05:46 PM,-4,22,22,22,27,0,17,0.0,1014,29,10,181,16
2020-01-29,30,17,0.0,8.7,1,1,26,09:25 AM,09:34 PM,06:20 AM,05:46 PM,-4,23,23,24,36,0,18,0.0,1014,30,10,101,22
2020-01-30,30,17,0.0,8.7,1,1,33,10:00 AM,10:20 PM,06:20 AM,05:47 PM,-1,23,23,23,31,1,21,0.0,1014,30,10,100,19
2020-01-31,30,18,0.0,8.7,1,1,37,10:35 AM,11:07 PM,06:20 AM,05:47 PM,-3,24,24,24,34,0,18,0.0,1014,30,10,349,21
2020-02-01,29,16,0.0,8.7,1,1,49,11:11 AM,11:54 PM,06:19 AM,05:48 PM,-5,22,22,23,36,0,16,0.0,1015,29,10,91,23
2020-02-02,30,16,0.0,8.7,1,1,57,11:50 AM,No moonset,06:19 AM,05:48 PM,-7,22,22,23,33,0,14,0.0,1015,30,10,182,20
2020-02-03,31,18,0.0,8.7,1,1,64,12:30 PM,12:44 AM,06:19 AM,05:48 PM,-4,23,23,24,34,1,16,0.0,1014,31,10,180,21
2020-02-04,30,17,0.0,8.7,1,1,72,01:16 PM,01:37 AM,06:19 AM,05:49 PM,-9,23,23,23,35,0,11,0.0,1014,30,10,259,22
2020-02-05,30,17,0.0,8.7,1,1,79,02:07 PM,02:31 AM,06:18 AM,05:49 PM,-11,22,22,23,30,0,10,0.0,1014,30,10,177,18
2020-02-06,33,19,0.0,8.7,1,1,87,03:03 PM,03:30 AM,06:18 AM,05:50 PM,-10,26,26,26,28,1,9,0.0,1014,33,10,25,16
2020-02-07,36,22,0.0,8.7,1,1,95,04:03 PM,04:28 AM,06:18 AM,05:50 PM,-4,28,28,29,33,1,12,0.0,1013,36,10,16,20
2020-02-08,34,22,0.0,8.7,1,1,100,05:06 PM,05:27 AM,06:18 AM,05:51 PM,-5,27,27,28,47,0,12,0.0,1015,34,10,15,33
2020-02-09,30,17,0.0,8.7,1,1,100,06:10 PM,06:22 AM,06:17 AM,05:51 PM,-7,23,23,24,43,0,14,0.0,1016,30,10,8,32
2020-02-10,28,16,0.0,8.7,1,1,83,07:13 PM,07:15 AM,06:17 AM,05:51 PM,-7,22,22,22,46,1,16,0.0,1017,28,10,95,33
2020-02-11,26,13,0.0,8.7,1,1,75,08:14 PM,08:03 AM,06:16 AM,05:52 PM,-8,18,19,18,43,0,16,0.0,1018,26,10,10,31
2020-02-12,28,14,0.0,8.7,1,1,68,09:14 PM,08:50 AM,06:16 AM,05:52 PM,-7,21,21,21,40,0,16,0.0,1017,28,10,23,26
2020-02-13,29,15,0.0,8.7,1,1,60,10:12 PM,09:35 AM,06:16 AM,05:53 PM,-5,22,22,22,33,0,17,0.0,1015,29,10,99,20
2020-02-14,33,18,0.0,8.7,1,1,53,11:10 PM,10:19 AM,06:15 AM,05:53 PM,-2,25,25,24,19,0,19,0.0,1012,33,10,167,10
2020-02-15,35,20,0.0,8.7,1,1,45,No moonrise,11:05 AM,06:15 AM,05:53 PM,2,27,27,27,24,0,21,0.0,1010,35,10,244,15
2020-02-16,35,22,0.0,8.7,1,1,38,12:08 AM,11:52 AM,06:14 AM,05:54 PM,3,28,28,28,35,0,22,0.0,1011,35,10,334,23
2020-02-17,32,20,0.0,8.7,1,1,30,01:05 AM,12:41 PM,06:14 AM,05:54 PM,-1,26,26,26,36,0,18,0.0,1012,32,10,88,24
2020-02-18,32,19,0.0,8.7,1,1,22,02:02 AM,01:33 PM,06:14 AM,05:54 PM,-3,25,25,25,35,0,16,0.0,1013,32,10,97,23
2020-02-19,32,20,0.0,8.7,1,1,15,02:57 AM,02:25 PM,06:13 AM,05:55 PM,-1,25,25,26,39,2,18,0.0,1013,32,10,183,27
