date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,31,23,0.0,10.2,1,1,80,03:57 PM,03:46 AM,06:53 AM,06:41 PM,22,29,29,26,19,40,78,0.2,1013,31,10,62,13
2020-01-08,29,24,0.0,8.8,1,1,88,04:49 PM,04:39 AM,06:53 AM,06:41 PM,23,29,29,26,23,70,83,9.2,1013,29,9,55,14
2020-01-09,30,23,0.0,8.8,1,1,95,05:46 PM,05:36 AM,06:53 AM,06:42 PM,22,28,28,26,19,68,79,2.9,1013,30,10,57,13
2020-01-10,30,23,0.0,7.4,1,1,100,06:45 PM,06:35 AM,06:54 AM,06:42 PM,21,28,28,26,20,75,77,2.9,1013,30,10,53,14
2020-01-11,29,23,0.0,7.4,1,1,100,07:46 PM,07:34 AM,06:54 AM,06:43 PM,21,28,28,25,20,74,79,3.9,1013,29,10,46,13
2020-01-12,30,23,0.0,7.4,1,1,83,08:45 PM,08:32 AM,06:54 AM,06:43 PM,21,28,28,26,21,61,77,2.7,1013,30,10,44,14
2020-01-13,30,23,0.0,7.4,1,1,76,09:44 PM,09:28 AM,06:55 AM,06:44 PM,22,28,28,26,19,69,81,6.1,1012,30,10,50,12
2020-01-14,30,23,0.0,7.4,1,1,69,10:39 PM,10:19 AM,06:55 AM,06:44 PM,23,28,28,26,20,68,86,18.2,1012,30,8,73,12
2020-01-15,29,24,0.0,5.9,1,1,61,11:33 PM,11:09 AM,06:55 AM,06:44 PM,22,29,29,26,21,74,82,6.8,1011,29,10,63,14
2020-01-16,30,24,0.0,8.8,1,1,54,No moonrise,11:57 AM,06:56 AM,06:45 PM,22,29,29,26,16,58,80,0.8,1013,30,10,53,11
2020-01-17,31,24,0.0,8.8,1,1,47,12:24 AM,12:44 PM,06:56 AM,06:45 PM,22,29,29,26,17,56,80,0.5,1013,31,8,58,11
2020-01-18,30,24,0.0,7.4,1,1,40,01:17 AM,01:32 PM,06:56 AM,06:46 PM,22,29,29,26,18,48,79,0.4,1013,30,8,52,12
2020-01-19,31,24,0.0,7.4,1,1,32,02:09 AM,02:21 PM,06:56 AM,06:46 PM,22,29,29,27,20,65,75,1.0,1012,31,10,57,14
2020-01-20,30,24,0.0,7.4,1,1,25,03:03 AM,03:12 PM,06:57 AM,06:47 PM,22,29,29,26,21,62,79,2.8,1012,30,10,55,14
2020-01-21,28,23,0.0,6.0,1,1,18,03:58 AM,04:05 PM,06:57 AM,06:47 PM,21,28,28,25,19,71,77,0.7,1012,28,10,55,13
2020-01-22,30,22,0.0,11.6,1,1,11,04:53 AM,04:59 PM,06:57 AM,06:47 PM,20,27,27,25,17,15,75,0.0,1011,30,10,55,12
2020-01-23,31,22,0.0,11.6,1,1,3,05:48 AM,05:53 PM,06:57 AM,06:48 PM,20,28,28,25,18,22,74,0.0,1011,31,10,60,12
2020-01-24,31,22,0.0,11.6,1,1,0,06:40 AM,06:45 PM,06:57 AM,06:48 PM,21,28,28,26,18,20,77,0.0,1012,31,10,54,13
2020-01-25,29,23,0.0,8.8,1,1,0,07:30 AM,07:36 PM,06:57 AM,06:48 PM,22,28,28,26,17,62,82,2.9,1012,29,9,53,11
2020-01-26,29,23,0.0,8.8,1,1,4,08:16 AM,08:24 PM,06:58 AM,06:49 PM,23,29,29,26,17,61,83,7.1,1013,29,10,68,11
2020-01-27,28,23,0.0,8.8,1,1,11,09:00 AM,09:10 PM,06:58 AM,06:49 PM,23,28,28,25,18,65,89,14.1,1013,28,9,62,11
2020-01-28,32,24,0.0,11.6,1,1,18,09:42 AM,09:54 PM,06:58 AM,06:49 PM,23,30,30,27,18,34,80,0.1,1012,32,9,62,12
2020-01-29,31,24,0.0,7.4,1,1,26,10:21 AM,10:37 PM,06:58 AM,06:50 PM,22,30,30,27,21,56,77,1.2,1012,31,10,61,14
2020-01-30,28,23,0.0,6.0,1,1,33,11:00 AM,11:20 PM,06:58 AM,06:50 PM,23,29,29,26,19,61,86,7.7,1012,28,8,62,12
2020-01-31,31,24,0.0,7.4,1,1,37,11:39 AM,No moonset,06:58 AM,06:50 PM,22,29,29,26,21,66,80,2.4,1013,31,10,63,15
