date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,16,0.0,13.4,1,1,80,03:48 PM,02:06 AM,05:10 AM,06:53 PM,15,24,24,23,9,13,71,0.0,1013,28,8,62,7
2020-01-08,29,15,0.0,13.4,1,1,88,04:47 PM,02:49 AM,05:11 AM,06:53 PM,14,24,24,23,9,22,66,0.0,1012,29,9,42,7
2020-01-09,28,18,0.0,8.4,1,1,95,05:47 PM,03:39 AM,05:12 AM,06:53 PM,18,25,25,23,10,71,76,12.6,1011,28,9,322,6
2020-01-10,19,17,0.0,8.4,1,1,100,06:47 PM,04:34 AM,05:12 AM,06:53 PM,17,18,18,18,14,99,96,19.2,1017,19,5,149,9
2020-01-11,22,16,0.0,8.4,1,1,100,07:43 PM,05:35 AM,05:13 AM,06:53 PM,16,19,20,19,7,80,86,1.0,1018,22,7,109,5
2020-01-12,27,15,0.0,10.8,1,1,83,08:34 PM,06:40 AM,05:14 AM,06:53 PM,18,23,23,22,7,65,81,22.9,1015,27,6,109,4
2020-01-13,25,17,0.0,9.6,1,1,76,09:21 PM,07:46 AM,05:15 AM,06:53 PM,17,21,21,20,9,73,85,20.9,1015,25,8,106,6
2020-01-14,24,16,0.0,12.0,1,1,69,10:04 PM,08:52 AM,05:16 AM,06:53 PM,16,20,20,19,9,66,83,2.0,1015,24,9,118,7
2020-01-15,26,15,0.0,13.3,1,1,61,10:43 PM,09:56 AM,05:16 AM,06:53 PM,15,21,21,20,9,45,76,0.1,1016,26,7,128,7
2020-01-16,26,15,0.0,13.3,1,1,54,11:22 PM,10:58 AM,05:17 AM,06:53 PM,16,21,21,20,9,51,81,1.7,1016,26,8,125,7
2020-01-17,28,16,0.0,13.4,1,1,47,12:00 AM,12:00 PM,05:18 AM,06:53 PM,17,23,23,22,9,41,78,0.6,1012,28,8,65,6
2020-01-18,28,17,0.0,10.8,1,1,40,No moonrise,01:01 PM,05:19 AM,06:53 PM,18,22,22,21,9,71,84,29.3,1008,28,7,117,5
2020-01-19,19,15,0.0,8.3,1,1,32,12:39 AM,02:02 PM,05:20 AM,06:52 PM,16,17,17,17,12,94,94,9.2,1012,19,8,151,9
2020-01-20,16,13,0.0,8.3,1,1,25,01:22 AM,03:03 PM,05:20 AM,06:52 PM,13,14,14,14,9,92,94,0.8,1018,16,5,132,7
2020-01-21,23,11,0.0,13.3,1,1,18,02:07 AM,04:03 PM,05:21 AM,06:52 PM,13,18,18,18,8,39,79,0.1,1016,23,7,93,6
2020-01-22,24,13,0.0,12.0,1,1,11,02:56 AM,05:01 PM,05:22 AM,06:52 PM,16,18,19,18,9,58,85,1.4,1012,24,5,54,6
2020-01-23,23,16,0.0,9.5,1,1,3,03:48 AM,05:55 PM,05:23 AM,06:51 PM,17,19,19,19,9,88,89,5.3,1014,23,8,90,6
2020-01-24,23,15,0.0,8.3,1,1,0,04:43 AM,06:44 PM,05:24 AM,06:51 PM,17,19,20,19,8,92,87,0.5,1017,23,5,54,6
2020-01-25,26,16,0.0,9.5,1,1,0,05:39 AM,07:29 PM,05:24 AM,06:51 PM,17,21,21,20,8,73,83,5.4,1015,26,6,123,5
2020-01-26,32,16,0.0,13.3,1,1,4,06:34 AM,08:09 PM,05:25 AM,06:50 PM,15,24,24,24,10,21,63,0.0,1011,32,9,284,6
2020-01-27,19,14,0.0,9.5,1,1,11,07:29 AM,08:45 PM,05:26 AM,06:50 PM,15,17,17,17,11,77,85,1.5,1017,19,10,124,8
2020-01-28,26,14,0.0,10.8,1,1,18,08:21 AM,09:18 PM,05:27 AM,06:50 PM,15,19,20,19,8,70,80,1.2,1016,26,9,150,6
2020-01-29,29,14,0.0,13.2,1,1,26,09:13 AM,09:50 PM,05:28 AM,06:49 PM,15,23,23,22,9,17,71,0.0,1015,29,8,71,6
2020-01-30,25,17,0.0,10.8,1,1,33,10:03 AM,10:20 PM,05:28 AM,06:49 PM,16,22,22,20,8,73,84,1.0,1019,25,5,74,6
2020-01-31,30,15,0.0,13.2,1,1,37,10:54 AM,10:52 PM,05:29 AM,06:48 PM,15,24,24,22,11,30,71,0.0,1017,30,8,35,7
2020-02-01,28,17,0.0,13.2,1,1,49,11:45 AM,11:25 PM,05:30 AM,06:48 PM,15,24,24,23,11,21,69,0.0,1017,28,9,119,8
2020-02-02,28,17,0.0,13.2,1,1,57,12:38 PM,No moonset,05:31 AM,06:47 PM,16,22,22,22,9,38,75,0.0,1019,28,8,100,7
2020-02-03,28,14,0.0,13.2,1,1,64,01:33 PM,12:00 AM,05:31 AM,06:47 PM,13,22,22,21,8,15,68,0.0,1018,28,8,91,6
2020-02-04,29,15,0.0,13.1,1,1,72,02:30 PM,12:40 AM,05:32 AM,06:46 PM,14,24,24,23,11,11,66,0.3,1015,29,10,74,7
2020-02-05,31,16,0.0,13.1,1,1,79,03:29 PM,01:25 AM,05:33 AM,06:46 PM,15,25,25,24,9,27,66,0.2,1012,31,8,25,6
2020-02-06,30,14,0.0,13.1,1,1,87,04:28 PM,02:16 AM,05:34 AM,06:45 PM,16,21,21,21,12,39,77,77.9,1012,30,8,91,7
2020-02-07,24,16,0.0,8.2,1,1,95,05:27 PM,03:15 AM,05:34 AM,06:44 PM,17,20,21,20,8,81,88,7.0,1016,24,10,96,6
2020-02-08,25,18,0.0,8.2,1,1,100,06:21 PM,04:18 AM,05:35 AM,06:44 PM,19,21,21,21,9,85,90,19.1,1015,25,9,33,6
2020-02-09,24,18,0.0,9.4,1,1,100,07:11 PM,05:26 AM,05:36 AM,06:43 PM,19,20,20,20,7,71,92,37.4,1014,24,7,74,4
2020-02-10,18,15,0.0,8.2,1,1,83,07:57 PM,06:33 AM,05:37 AM,06:42 PM,16,17,17,17,11,100,97,18.6,1017,18,7,138,7
2020-02-11,18,15,0.0,8.2,1,1,75,08:39 PM,07:41 AM,05:37 AM,06:42 PM,15,16,16,16,12,87,94,6.1,1019,18,10,141,9
2020-02-12,20,14,0.0,9.4,1,1,68,09:20 PM,08:46 AM,05:38 AM,06:41 PM,14,17,17,17,7,63,85,0.7,1018,20,9,127,5
2020-02-13,27,14,0.0,12.0,1,1,60,09:59 PM,09:51 AM,05:39 AM,06:40 PM,17,21,21,20,9,47,81,2.5,1014,27,7,59,6
2020-02-14,29,17,0.0,13.0,1,1,53,10:39 PM,10:54 AM,05:39 AM,06:40 PM,16,24,24,23,9,11,72,0.1,1013,29,10,126,6
2020-02-15,27,17,0.0,13.0,1,1,45,11:21 PM,11:56 AM,05:40 AM,06:39 PM,16,24,24,23,6,2,70,0.0,1016,27,10,99,5
2020-02-16,27,16,0.0,13.0,1,1,38,No moonrise,12:58 PM,05:41 AM,06:38 PM,14,23,23,22,8,3,70,0.0,1016,27,10,105,5
