date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,6,5,0.0,2.5,1,1,80,12:42 PM,04:45 AM,08:40 AM,03:08 PM,3,2,5,2,29,76,83,0.1,1012,6,10,227,18
2020-01-08,10,4,0.0,6.6,1,1,88,01:07 PM,06:07 AM,08:39 AM,03:09 PM,2,3,7,3,42,49,72,0.3,1002,10,9,248,25
2020-01-09,4,-2,0.0,6.6,1,1,95,01:44 PM,07:25 AM,08:38 AM,03:11 PM,0,-1,3,-1,24,37,82,0.0,1009,4,10,269,15
2020-01-10,2,-8,0.6,6.8,1,1,100,02:39 PM,08:31 AM,08:37 AM,03:13 PM,-1,-2,0,-2,13,34,84,1.3,1012,2,8,31,8
2020-01-11,4,-0,0.0,2.5,1,1,100,03:54 PM,09:21 AM,08:36 AM,03:15 PM,-4,-2,2,-2,32,55,65,0.1,1014,4,10,213,20
2020-01-12,8,2,0.0,4.6,1,1,83,05:23 PM,09:55 AM,08:35 AM,03:17 PM,2,2,6,2,36,59,76,1.8,1001,8,6,261,22
2020-01-13,3,1,0.0,6.9,1,1,76,06:58 PM,10:17 AM,08:34 AM,03:19 PM,-0,-2,2,-2,25,33,86,0.0,1007,3,10,247,15
2020-01-14,6,1,0.0,2.6,1,1,69,08:32 PM,10:34 AM,08:32 AM,03:21 PM,2,-1,4,-1,36,55,85,2.0,1002,6,10,192,23
2020-01-15,10,5,0.0,2.6,1,1,61,10:06 PM,10:46 AM,08:31 AM,03:24 PM,4,4,7,4,36,89,79,7.8,996,10,8,242,22
2020-01-16,7,5,0.0,4.6,1,1,54,11:38 PM,10:57 AM,08:30 AM,03:26 PM,2,2,6,2,38,51,76,0.6,1010,7,9,257,23
2020-01-17,5,4,0.0,7.0,1,1,47,No moonrise,11:08 AM,08:28 AM,03:28 PM,2,1,4,1,27,51,87,0.1,1017,5,10,206,16
2020-01-18,6,3,0.0,2.6,1,1,40,01:08 AM,11:20 AM,08:27 AM,03:30 PM,2,1,4,1,24,91,88,0.5,1007,6,8,213,16
2020-01-19,4,1,0.0,7.1,1,1,32,02:38 AM,11:33 AM,08:25 AM,03:32 PM,-1,-1,3,-1,25,20,75,0.0,1022,4,10,288,15
2020-01-20,5,-1,0.0,4.7,1,1,25,04:07 AM,11:52 AM,08:23 AM,03:35 PM,0,-1,3,-1,32,44,78,0.0,1027,5,10,256,19
2020-01-21,8,-3,0.0,4.7,1,1,18,05:32 AM,12:17 PM,08:21 AM,03:37 PM,2,3,6,3,34,58,72,1.1,1017,8,9,305,20
2020-01-22,4,-6,0.0,7.2,1,1,11,06:46 AM,12:55 PM,08:20 AM,03:39 PM,-4,-2,2,-2,37,11,59,0.0,1018,4,10,319,22
2020-01-23,3,-4,0.0,7.2,1,1,3,07:47 AM,01:47 PM,08:18 AM,03:42 PM,-2,-3,1,-3,27,34,74,0.0,1016,3,10,241,16
2020-01-24,6,3,0.0,7.3,1,1,0,08:30 AM,02:52 PM,08:16 AM,03:44 PM,1,1,5,1,32,16,78,0.0,1004,6,10,270,18
2020-01-25,3,-1,0.0,7.3,1,1,0,09:00 AM,04:07 PM,08:14 AM,03:47 PM,-2,-2,2,-2,21,16,79,0.0,1008,3,10,258,12
2020-01-26,7,4,0.0,2.8,1,1,4,09:21 AM,05:25 PM,08:12 AM,03:49 PM,3,3,6,3,29,99,82,0.0,1006,7,10,267,18
2020-01-27,5,2,0.0,2.8,1,1,11,09:35 AM,06:43 PM,08:10 AM,03:52 PM,3,2,5,2,20,91,90,0.7,1004,5,9,192,13
