date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,9,-0,0.0,8.4,1,1,80,02:19 PM,04:39 AM,08:15 AM,04:58 PM,-1,2,3,2,7,16,78,0.0,1030,9,10,164,4
2020-01-08,9,-2,0.0,8.4,1,1,88,02:57 PM,05:47 AM,08:15 AM,04:59 PM,-4,1,2,1,9,20,65,0.0,1031,9,10,209,4
2020-01-09,10,2,0.0,8.7,1,1,95,03:44 PM,06:54 AM,08:14 AM,05:00 PM,-2,3,4,3,9,17,63,0.0,1024,10,10,224,5
2020-01-10,8,1,0.0,8.7,1,1,100,04:42 PM,07:57 AM,08:14 AM,05:01 PM,1,2,4,2,14,68,84,0.9,1025,8,9,232,9
2020-01-11,6,-0,0.0,8.7,1,1,100,05:50 PM,08:52 AM,08:14 AM,05:02 PM,1,2,2,2,6,36,89,0.0,1032,6,8,52,4
2020-01-12,8,-1,0.0,6.9,1,1,83,07:05 PM,09:38 AM,08:13 AM,05:04 PM,-3,1,2,1,7,49,69,0.0,1029,8,10,242,4
2020-01-13,7,-3,0.0,6.9,1,1,76,08:23 PM,10:15 AM,08:13 AM,05:05 PM,-5,0,2,0,8,34,62,0.0,1024,7,10,235,4
2020-01-14,8,-1,0.0,8.7,1,1,69,09:42 PM,10:47 AM,08:12 AM,05:06 PM,-5,1,2,1,8,30,60,0.0,1020,8,10,208,4
2020-01-15,9,0,0.0,8.7,1,1,61,11:00 PM,11:14 AM,08:11 AM,05:08 PM,-2,1,3,1,10,12,70,0.0,1023,9,10,243,5
2020-01-16,10,0,0.0,8.7,1,1,54,No moonrise,11:40 AM,08:11 AM,05:09 PM,-0,3,4,3,8,17,74,0.0,1028,10,10,260,4
2020-01-17,10,1,0.0,6.9,1,1,47,12:15 AM,12:04 PM,08:10 AM,05:10 PM,-0,3,4,3,11,40,75,2.9,1024,10,9,233,7
2020-01-18,5,-2,1.3,6.9,1,1,40,01:31 AM,12:30 PM,08:09 AM,05:12 PM,0,1,2,1,7,48,88,3.9,1029,5,8,280,5
2020-01-19,3,-2,0.1,5.2,1,1,32,02:45 AM,12:58 PM,08:09 AM,05:13 PM,-3,-4,-1,-4,16,65,84,0.3,1034,3,9,46,12
2020-01-20,2,-4,0.1,8.7,1,1,25,03:58 AM,01:31 PM,08:08 AM,05:15 PM,-6,-5,-2,-5,16,15,75,0.1,1042,2,9,54,12
2020-01-21,6,-4,0.0,8.7,1,1,18,05:09 AM,02:10 PM,08:07 AM,05:16 PM,-6,0,1,0,3,10,65,0.0,1040,6,10,127,2
2020-01-22,9,-2,0.0,8.7,1,1,11,06:13 AM,02:56 PM,08:06 AM,05:17 PM,-4,2,2,2,3,3,66,0.0,1034,9,10,41,2
2020-01-23,6,-2,0.0,8.7,1,1,3,07:11 AM,03:50 PM,08:05 AM,05:19 PM,-4,1,2,1,5,3,69,0.0,1029,6,10,117,3
2020-01-24,9,-3,0.0,8.7,1,1,0,08:00 AM,04:50 PM,08:04 AM,05:20 PM,-3,1,2,1,7,27,70,0.0,1026,9,10,184,4
2020-01-25,8,-1,0.0,8.7,1,1,0,08:40 AM,05:53 PM,08:04 AM,05:22 PM,-2,1,2,1,7,25,76,0.0,1023,8,10,250,4
2020-01-26,8,-1,0.0,8.7,1,1,4,09:13 AM,06:58 PM,08:02 AM,05:23 PM,-1,1,2,1,7,38,80,0.0,1021,8,9,259,4
2020-01-27,8,0,0.0,7.0,1,1,11,09:40 AM,08:02 PM,08:01 AM,05:25 PM,1,2,4,2,10,70,82,0.9,1016,8,8,229,6
2020-01-28,6,-1,2.9,3.5,1,1,18,10:03 AM,09:05 PM,08:00 AM,05:26 PM,2,-0,4,-0,25,78,88,12.7,1008,6,7,246,18
2020-01-29,4,1,0.3,3.6,1,1,26,10:24 AM,10:07 PM,07:59 AM,05:28 PM,2,-1,3,-1,22,88,92,10.3,1016,4,8,246,16
2020-01-30,8,-0,0.0,5.3,1,1,33,10:44 AM,11:10 PM,07:58 AM,05:29 PM,1,2,4,2,10,59,82,2.9,1018,8,9,224,6
2020-01-31,12,6,0.0,3.7,1,1,37,11:04 AM,No moonset,07:57 AM,05:31 PM,7,7,8,7,12,66,91,3.1,1018,12,9,242,7
2020-02-01,13,4,0.0,5.3,1,1,49,11:26 AM,12:12 AM,07:56 AM,05:32 PM,5,5,7,5,20,49,84,4.5,1016,13,10,237,12
2020-02-02,10,5,0.0,3.7,1,1,57,11:49 AM,01:16 AM,07:55 AM,05:34 PM,6,5,8,5,24,89,90,9.2,1020,10,8,218,13
2020-02-03,12,7,0.0,3.7,1,1,64,12:16 PM,02:20 AM,07:53 AM,05:35 PM,7,8,10,8,28,86,83,9.6,1021,12,8,232,17
2020-02-04,4,-1,9.5,3.7,1,1,72,12:49 PM,03:27 AM,07:52 AM,05:37 PM,1,0,4,0,24,94,84,14.5,1019,4,6,288,18
2020-02-05,6,-1,6.0,5.4,1,1,79,01:31 PM,04:34 AM,07:51 AM,05:39 PM,-0,1,2,1,8,50,86,6.6,1033,6,7,231,6
2020-02-06,6,-2,0.0,7.0,1,1,87,02:22 PM,05:38 AM,07:49 AM,05:40 PM,-4,-0,1,-0,7,21,70,0.0,1030,6,10,28,5
2020-02-07,10,-1,0.0,8.7,1,1,95,03:26 PM,06:36 AM,07:48 AM,05:42 PM,-3,4,5,4,4,0,65,0.0,1026,10,10,342,2
2020-02-08,10,-1,0.0,7.0,1,1,100,04:38 PM,07:27 AM,07:47 AM,05:43 PM,-3,4,5,4,7,27,66,0.0,1025,10,10,268,4
2020-02-09,10,0,0.0,8.7,1,1,100,05:58 PM,08:09 AM,07:45 AM,05:45 PM,-2,2,4,2,14,29,68,0.0,1024,10,10,228,7
2020-02-10,11,4,0.0,5.4,1,1,83,07:19 PM,08:44 AM,07:44 AM,05:46 PM,4,5,8,5,38,65,72,2.8,1014,11,10,247,26
2020-02-11,6,2,0.0,3.8,1,1,75,08:40 PM,09:14 AM,07:42 AM,05:48 PM,2,1,5,1,32,77,79,8.0,1017,6,9,246,25
2020-02-12,5,-0,1.5,3.8,1,1,68,10:00 PM,09:41 AM,07:41 AM,05:49 PM,-2,-1,2,-1,19,80,75,1.8,1024,5,6,246,14
2020-02-13,7,-2,0.0,3.8,1,1,60,11:18 PM,10:07 AM,07:39 AM,05:51 PM,-2,1,3,1,19,66,72,3.8,1016,7,10,206,13
2020-02-14,8,1,0.0,3.8,1,1,53,No moonrise,10:33 AM,07:37 AM,05:52 PM,3,3,5,3,16,69,86,6.6,1023,8,8,252,11
2020-02-15,13,-0,0.0,8.7,1,1,45,12:35 AM,11:01 AM,07:36 AM,05:54 PM,-0,6,7,6,9,39,70,0.0,1025,13,10,249,5
2020-02-16,12,3,0.0,7.1,1,1,38,01:50 AM,11:33 AM,07:34 AM,05:55 PM,0,6,7,6,12,34,65,0.0,1022,12,10,226,6
2020-02-17,12,4,0.0,5.5,1,1,30,03:01 AM,12:09 PM,07:33 AM,05:57 PM,4,5,7,5,17,66,79,17.7,1022,12,9,248,11
2020-02-18,7,1,0.0,8.7,1,1,22,04:08 AM,12:53 PM,07:31 AM,05:58 PM,0,2,5,2,12,52,81,5.7,1030,7,9,257,8
2020-02-19,5,-1,2.0,5.4,1,1,15,05:07 AM,01:44 PM,07:29 AM,06:00 PM,-0,-1,2,-1,18,77,85,7.5,1027,5,9,247,13
2020-02-20,10,0,0.0,10.0,1,1,7,05:58 AM,02:41 PM,07:28 AM,06:01 PM,-0,4,6,4,10,33,74,0.1,1024,10,10,248,5
2020-02-21,8,2,0.0,8.5,1,1,0,06:39 AM,03:43 PM,07:26 AM,06:03 PM,2,4,5,4,7,51,84,1.3,1030,8,9,51,4
2020-02-22,13,1,0.0,10.8,1,1,0,07:14 AM,04:47 PM,07:24 AM,06:04 PM,1,6,7,6,9,15,71,0.0,1031,13,10,247,6
2020-02-23,14,5,0.0,8.5,1,1,0,07:43 AM,05:51 PM,07:22 AM,06:06 PM,3,7,9,7,18,63,67,0.0,1029,14,10,242,11
2020-02-24,15,6,0.0,10.9,1,1,0,08:07 AM,06:55 PM,07:20 AM,06:07 PM,5,9,10,9,16,16,76,0.0,1022,15,10,245,10
2020-02-25,10,4,0.0,5.5,1,1,8,08:29 AM,07:58 PM,07:19 AM,06:09 PM,3,4,7,4,23,72,79,8.2,1010,10,9,245,16
2020-02-26,1,-2,8.8,5.5,1,1,15,08:49 AM,09:00 PM,07:17 AM,06:10 PM,-2,-4,0,-4,25,74,82,11.7,1008,1,5,275,18
