date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,19,0.0,7.5,1,1,80,03:57 PM,03:15 AM,06:29 AM,06:57 PM,18,24,24,23,10,41,74,2.2,1012,28,10,70,6
2020-01-08,29,19,0.0,8.9,1,1,88,04:51 PM,04:04 AM,06:29 AM,06:57 PM,18,23,23,23,16,48,78,4.5,1012,29,9,85,10
2020-01-09,29,18,0.0,8.9,1,1,95,05:49 PM,04:57 AM,06:30 AM,06:58 PM,18,24,24,23,12,46,78,1.5,1012,29,8,91,7
2020-01-10,25,19,0.0,8.9,1,1,100,06:48 PM,05:55 AM,06:30 AM,06:58 PM,19,23,23,22,10,60,82,14.0,1012,25,9,166,6
2020-01-11,25,19,0.0,7.5,1,1,100,07:47 PM,06:55 AM,06:31 AM,06:58 PM,19,23,23,22,9,60,84,9.2,1013,25,9,226,6
2020-01-12,19,18,0.0,6.1,1,1,83,08:44 PM,07:55 AM,06:31 AM,06:59 PM,18,19,19,19,10,85,95,19.4,1015,19,8,236,7
2020-01-13,26,17,0.0,10.2,1,1,76,09:39 PM,08:55 AM,06:32 AM,06:59 PM,18,22,22,21,6,45,83,0.1,1013,26,7,322,5
2020-01-14,28,18,0.0,10.2,1,1,69,10:29 PM,09:52 AM,06:32 AM,06:59 PM,18,24,24,22,8,42,78,1.9,1011,28,10,263,5
2020-01-15,28,19,0.0,9.0,1,1,61,11:19 PM,10:47 AM,06:33 AM,07:00 PM,19,23,23,22,8,62,82,12.7,1012,28,9,114,5
2020-01-16,23,19,0.0,7.7,1,1,54,No moonrise,11:41 AM,06:33 AM,07:00 PM,19,20,21,20,9,61,91,9.6,1013,23,7,76,5
2020-01-17,25,19,0.0,6.3,1,1,47,12:06 AM,12:33 PM,06:34 AM,07:00 PM,19,21,22,21,6,61,88,2.2,1012,25,7,228,4
2020-01-18,21,12,0.0,9.0,1,1,40,12:53 AM,01:25 PM,06:34 AM,07:00 PM,19,19,19,19,8,66,93,17.5,1012,21,8,234,6
2020-01-19,26,18,0.0,6.3,1,1,32,01:41 AM,02:18 PM,06:34 AM,07:00 PM,19,22,22,21,11,68,85,2.5,1012,26,9,287,8
2020-01-20,27,19,0.0,10.3,1,1,25,02:30 AM,03:12 PM,06:35 AM,07:01 PM,19,24,24,23,8,48,82,2.1,1011,27,9,288,6
2020-01-21,28,19,0.0,9.0,1,1,18,03:22 AM,04:07 PM,06:35 AM,07:01 PM,19,24,24,23,13,48,77,0.6,1010,28,10,292,9
2020-01-22,28,20,0.0,10.3,1,1,11,04:15 AM,05:03 PM,06:36 AM,07:01 PM,18,23,23,22,10,28,78,0.2,1010,28,10,277,6
2020-01-23,25,19,0.0,9.0,1,1,3,05:09 AM,05:57 PM,06:36 AM,07:01 PM,19,22,22,21,9,70,87,3.9,1012,25,9,213,7
2020-01-24,26,20,0.0,7.6,1,1,0,06:03 AM,06:48 PM,06:36 AM,07:01 PM,19,24,24,23,5,62,83,8.5,1013,26,9,186,3
2020-01-25,24,19,0.0,7.6,1,1,0,06:55 AM,07:38 PM,06:37 AM,07:01 PM,19,21,21,21,8,75,91,7.6,1014,24,8,246,5
2020-01-26,25,19,0.0,9.0,1,1,4,07:45 AM,08:23 PM,06:37 AM,07:01 PM,19,22,22,21,10,56,87,3.4,1014,25,8,83,7
2020-01-27,26,19,0.0,7.6,1,1,11,08:33 AM,09:06 PM,06:37 AM,07:02 PM,20,23,23,22,10,62,89,25.9,1013,26,6,173,6
2020-01-28,21,18,0.0,7.6,1,1,18,09:19 AM,09:47 PM,06:38 AM,07:02 PM,18,19,20,19,10,89,93,47.5,1014,21,7,293,7
2020-01-29,24,18,0.0,6.3,1,1,26,10:02 AM,10:26 PM,06:38 AM,07:02 PM,18,20,21,20,8,72,88,1.4,1014,24,7,303,6
