date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,37,30,0.0,11.6,1,1,80,03:02 PM,03:11 AM,06:43 AM,06:04 PM,17,34,34,33,8,4,41,0.0,1012,37,10,75,7
2020-01-08,36,28,0.0,11.6,1,1,88,03:50 PM,04:05 AM,06:43 AM,06:05 PM,18,34,34,32,11,12,45,0.0,1011,36,10,77,9
2020-01-09,37,29,0.0,11.6,1,1,95,04:44 PM,05:02 AM,06:44 AM,06:06 PM,18,35,35,33,8,22,43,0.0,1010,37,10,59,7
2020-01-10,38,30,0.0,11.6,1,1,100,05:42 PM,06:01 AM,06:44 AM,06:06 PM,19,35,35,33,9,28,45,0.1,1010,38,10,55,8
2020-01-11,36,30,0.0,11.6,1,1,100,06:43 PM,07:00 AM,06:44 AM,06:07 PM,19,35,35,33,7,22,46,0.0,1009,36,10,247,6
2020-01-12,36,30,0.0,11.6,1,1,83,07:45 PM,07:58 AM,06:44 AM,06:07 PM,20,35,35,32,12,23,49,0.0,1009,36,10,146,10
2020-01-13,36,29,0.0,8.7,1,1,76,08:47 PM,08:52 AM,06:45 AM,06:08 PM,20,34,34,32,14,43,54,2.5,1010,36,10,114,11
2020-01-14,35,28,0.0,11.6,1,1,69,09:46 PM,09:43 AM,06:45 AM,06:08 PM,19,33,33,31,11,30,52,0.2,1011,35,10,135,10
2020-01-15,35,27,0.0,10.2,1,1,61,10:44 PM,10:29 AM,06:45 AM,06:09 PM,20,33,33,30,14,29,56,0.6,1011,35,10,160,11
2020-01-16,36,27,0.0,11.6,1,1,54,11:40 PM,11:15 AM,06:45 AM,06:10 PM,20,33,33,31,13,29,55,0.3,1012,36,10,160,11
2020-01-17,36,28,0.0,8.7,1,1,47,No moonrise,11:59 AM,06:45 AM,06:10 PM,20,34,34,32,10,39,54,0.8,1012,36,10,127,8
2020-01-18,37,28,0.0,11.6,1,1,40,12:35 AM,12:43 PM,06:45 AM,06:11 PM,21,34,34,31,12,19,56,0.0,1012,37,10,132,10
2020-01-19,37,28,0.0,11.6,1,1,32,01:31 AM,01:29 PM,06:46 AM,06:11 PM,21,34,34,31,14,23,56,0.0,1012,37,10,118,12
2020-01-20,36,29,0.0,8.7,1,1,25,02:27 AM,02:16 PM,06:46 AM,06:12 PM,20,34,34,32,11,47,54,3.1,1013,36,10,103,9
2020-01-21,36,29,0.0,8.7,1,1,18,03:24 AM,03:06 PM,06:46 AM,06:12 PM,21,34,34,32,12,48,54,0.4,1014,36,10,133,10
2020-01-22,36,29,0.0,8.7,1,1,11,04:20 AM,03:58 PM,06:46 AM,06:13 PM,21,34,34,31,13,38,55,0.7,1013,36,10,169,11
2020-01-23,35,28,0.0,11.6,1,1,3,05:16 AM,04:52 PM,06:46 AM,06:13 PM,21,34,34,31,18,7,59,0.0,1011,35,10,186,14
2020-01-24,35,28,0.0,11.6,1,1,0,06:09 AM,05:46 PM,06:46 AM,06:14 PM,21,33,33,30,20,20,60,0.2,1011,35,10,183,16
2020-01-25,32,28,0.0,11.6,1,1,0,06:59 AM,06:39 PM,06:46 AM,06:14 PM,21,32,32,29,27,12,63,0.0,1010,32,10,183,22
2020-01-26,34,27,0.0,11.6,1,1,4,07:46 AM,07:31 PM,06:46 AM,06:15 PM,19,32,32,30,19,30,54,0.2,1010,34,10,197,15
2020-01-27,35,27,0.0,11.6,1,1,11,08:28 AM,08:20 PM,06:46 AM,06:15 PM,17,31,31,30,19,3,50,0.0,1009,35,10,218,16
2020-01-28,33,26,0.0,11.6,1,1,18,09:08 AM,09:08 PM,06:46 AM,06:16 PM,17,30,30,29,18,1,51,0.0,1010,33,10,226,15
