date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,33,27,0.0,8.7,1,1,80,03:03 PM,02:53 AM,06:07 AM,05:55 PM,17,30,30,29,14,8,50,0.0,1009,33,10,119,10
2020-01-08,32,26,0.0,8.7,1,1,88,03:55 PM,03:46 AM,06:08 AM,05:55 PM,21,30,30,28,20,15,65,0.0,1011,32,10,203,14
2020-01-09,32,27,0.0,8.7,1,1,95,04:50 PM,04:42 AM,06:08 AM,05:56 PM,22,32,32,28,17,6,70,0.0,1010,32,10,185,12
2020-01-10,31,26,0.0,7.2,1,1,100,05:50 PM,05:41 AM,06:09 AM,05:56 PM,23,31,31,28,22,31,74,0.0,1012,31,10,192,16
2020-01-11,32,26,0.0,5.8,1,1,100,06:50 PM,06:40 AM,06:09 AM,05:57 PM,23,32,32,28,21,34,73,1.0,1012,32,10,208,16
2020-01-12,32,27,0.0,8.7,1,1,83,07:51 PM,07:38 AM,06:09 AM,05:57 PM,23,33,33,29,15,8,70,0.0,1011,32,10,187,12
2020-01-13,32,27,0.0,5.8,1,1,76,08:49 PM,08:33 AM,06:10 AM,05:58 PM,24,33,33,29,17,36,76,0.9,1009,32,10,181,13
2020-01-14,32,27,0.0,5.8,1,1,69,09:45 PM,09:26 AM,06:10 AM,05:58 PM,24,33,33,29,17,32,76,1.6,1009,32,10,170,13
2020-01-15,34,27,0.0,8.7,1,1,61,10:38 PM,10:16 AM,06:10 AM,05:59 PM,24,34,34,30,16,2,71,0.0,1009,34,10,202,13
2020-01-16,34,26,0.0,8.7,1,1,54,11:31 PM,11:04 AM,06:10 AM,05:59 PM,23,33,33,29,19,14,70,0.0,1010,34,10,194,13
2020-01-17,32,26,0.0,8.7,1,1,47,No moonrise,11:51 AM,06:11 AM,05:59 PM,23,32,32,29,16,7,73,0.0,1011,32,10,198,12
2020-01-18,33,27,0.0,11.6,1,1,40,12:23 AM,12:38 PM,06:11 AM,06:00 PM,23,33,33,29,15,8,70,0.0,1012,33,10,189,11
2020-01-19,33,28,0.0,11.6,1,1,32,01:16 AM,01:28 PM,06:11 AM,06:00 PM,23,34,34,30,14,23,68,0.2,1011,33,10,140,11
2020-01-20,31,27,0.0,11.6,1,1,25,02:09 AM,02:18 PM,06:11 AM,06:01 PM,23,32,32,29,15,5,70,0.0,1010,31,10,172,12
2020-01-21,33,27,0.0,11.6,1,1,18,03:04 AM,03:10 PM,06:11 AM,06:01 PM,21,32,32,29,14,7,65,0.0,1010,33,10,145,11
2020-01-22,33,27,0.0,11.6,1,1,11,04:00 AM,04:04 PM,06:12 AM,06:01 PM,21,32,32,29,16,5,63,0.0,1010,33,10,190,12
2020-01-23,33,27,0.0,11.6,1,1,3,04:54 AM,04:58 PM,06:12 AM,06:02 PM,23,33,33,29,14,2,69,0.0,1010,33,10,174,11
2020-01-24,33,26,0.0,11.6,1,1,0,05:47 AM,05:51 PM,06:12 AM,06:02 PM,21,31,31,29,16,5,67,0.0,1010,33,10,109,12
2020-01-25,32,26,0.0,11.6,1,1,0,06:37 AM,06:42 PM,06:12 AM,06:02 PM,13,29,29,29,17,1,43,0.0,1011,32,10,92,13
2020-01-26,33,26,0.0,11.6,1,1,4,07:25 AM,07:31 PM,06:12 AM,06:03 PM,12,28,28,29,15,0,38,0.0,1012,33,10,113,11
2020-01-27,33,26,0.0,11.6,1,1,11,08:08 AM,08:17 PM,06:12 AM,06:03 PM,21,31,31,29,13,0,64,0.0,1011,33,10,127,11
2020-01-28,33,26,0.0,11.6,1,1,18,08:50 AM,09:02 PM,06:12 AM,06:03 PM,22,32,32,29,15,3,68,0.0,1011,33,10,156,11
2020-01-29,34,26,0.0,11.6,1,1,26,09:30 AM,09:45 PM,06:12 AM,06:04 PM,22,32,32,29,15,2,68,0.0,1010,34,10,196,11
2020-01-30,33,26,0.0,11.6,1,1,33,10:08 AM,10:28 PM,06:12 AM,06:04 PM,23,32,32,29,17,13,71,0.0,1012,33,10,197,13
2020-01-31,32,26,0.0,11.6,1,1,37,10:46 AM,11:11 PM,06:13 AM,06:04 PM,23,32,32,29,19,26,71,0.0,1012,32,10,189,14
2020-02-01,35,26,0.0,11.6,1,1,49,11:26 AM,11:56 PM,06:13 AM,06:05 PM,23,33,33,29,15,14,71,0.0,1011,35,10,207,12
2020-02-02,35,26,0.0,8.8,1,1,57,12:08 PM,No moonset,06:13 AM,06:05 PM,22,33,33,29,15,34,68,0.2,1012,35,10,202,11
2020-02-03,35,26,0.0,11.6,1,1,64,12:52 PM,12:42 AM,06:13 AM,06:05 PM,18,31,31,29,15,0,56,0.0,1012,35,10,117,12
2020-02-04,33,25,0.0,11.6,1,1,72,01:41 PM,01:33 AM,06:13 AM,06:05 PM,21,31,31,28,16,16,68,0.0,1012,33,10,223,12
2020-02-05,32,26,0.0,11.6,1,1,79,02:33 PM,02:25 AM,06:12 AM,06:05 PM,22,32,32,29,15,15,69,0.0,1011,32,10,209,12
2020-02-06,35,26,0.0,11.6,1,1,87,03:31 PM,03:23 AM,06:12 AM,06:06 PM,22,33,33,29,13,12,66,0.0,1011,35,10,217,10
2020-02-07,34,26,0.0,11.6,1,1,95,04:31 PM,04:21 AM,06:12 AM,06:06 PM,18,31,31,30,16,4,55,0.0,1011,34,10,109,12
2020-02-08,34,25,0.0,11.6,1,1,100,05:33 PM,05:21 AM,06:12 AM,06:06 PM,15,29,29,29,19,10,47,0.0,1010,34,10,120,13
2020-02-09,32,26,0.0,11.6,1,1,100,06:33 PM,06:18 AM,06:12 AM,06:06 PM,22,31,31,28,18,11,70,0.0,1011,32,10,186,13
2020-02-10,33,27,0.0,8.8,1,1,83,07:32 PM,07:14 AM,06:12 AM,06:06 PM,23,33,33,29,19,33,71,0.2,1011,33,10,194,14
2020-02-11,34,27,0.0,11.6,1,1,75,08:28 PM,08:07 AM,06:12 AM,06:07 PM,22,33,33,30,15,8,66,0.0,1011,34,10,217,11
2020-02-12,33,25,0.0,11.6,1,1,68,09:24 PM,08:57 AM,06:12 AM,06:07 PM,15,29,29,28,20,4,50,0.0,1011,33,10,101,15
2020-02-13,33,24,0.0,11.6,1,1,60,10:18 PM,09:47 AM,06:12 AM,06:07 PM,18,29,29,28,16,4,55,0.0,1010,33,10,118,12
2020-02-14,33,24,0.0,11.6,1,1,53,11:12 PM,10:35 AM,06:11 AM,06:07 PM,19,30,30,28,16,2,61,0.0,1009,33,10,203,12
2020-02-15,32,25,0.0,11.6,1,1,45,No moonrise,11:25 AM,06:11 AM,06:07 PM,20,30,30,28,18,2,63,0.0,1009,32,10,204,13
2020-02-16,32,25,0.0,11.6,1,1,38,12:06 AM,12:15 PM,06:11 AM,06:07 PM,22,31,31,28,21,5,72,0.0,1009,32,10,190,15
2020-02-17,32,26,0.0,10.2,1,1,30,01:01 AM,01:07 PM,06:11 AM,06:07 PM,23,32,32,28,23,38,75,0.2,1010,32,10,207,18
2020-02-18,32,26,0.0,11.6,1,1,22,01:56 AM,02:00 PM,06:11 AM,06:07 PM,23,32,32,29,24,14,73,0.0,1010,32,10,204,18
2020-02-19,32,27,0.0,11.6,1,1,15,02:50 AM,02:53 PM,06:10 AM,06:07 PM,23,33,33,29,22,7,72,0.0,1009,32,10,198,16
2020-02-20,32,27,0.0,11.6,1,1,7,03:43 AM,03:46 PM,06:10 AM,06:07 PM,24,33,33,29,20,6,74,0.0,1008,32,10,186,15
2020-02-21,33,27,0.0,11.6,1,1,0,04:33 AM,04:37 PM,06:10 AM,06:07 PM,24,34,34,29,19,9,74,0.0,1008,33,10,196,15
2020-02-22,32,27,0.0,11.6,1,1,0,05:21 AM,05:26 PM,06:10 AM,06:07 PM,24,34,34,29,23,14,75,0.0,1009,32,10,200,17
2020-02-23,33,27,0.0,11.6,1,1,0,06:05 AM,06:13 PM,06:09 AM,06:08 PM,24,34,34,29,25,27,76,0.0,1010,33,10,204,19
2020-02-24,33,27,0.0,8.8,1,1,0,06:47 AM,06:58 PM,06:09 AM,06:08 PM,24,34,34,29,22,43,75,0.2,1009,33,10,204,16
2020-02-25,33,27,0.0,11.6,1,1,8,07:27 AM,07:42 PM,06:09 AM,06:08 PM,24,34,34,29,22,24,73,0.0,1009,33,10,206,16
2020-02-26,32,26,0.0,11.6,1,1,15,08:06 AM,08:24 PM,06:08 AM,06:08 PM,24,33,33,29,23,21,74,0.0,1009,32,10,200,17
2020-02-27,33,27,0.0,7.4,1,1,23,08:44 AM,09:07 PM,06:08 AM,06:08 PM,24,34,34,29,21,62,72,1.6,1009,33,10,205,16
2020-02-28,34,27,0.0,11.6,1,1,30,09:24 AM,09:51 PM,06:08 AM,06:08 PM,24,35,35,30,22,11,71,0.0,1010,34,10,207,17
2020-02-29,33,28,0.0,11.6,1,1,38,10:04 AM,10:36 PM,06:07 AM,06:07 PM,24,34,34,30,24,12,71,0.0,1009,33,10,207,18
2020-03-01,32,27,0.0,11.6,1,1,44,10:46 AM,11:24 PM,06:07 AM,06:07 PM,24,34,34,29,28,26,74,0.0,1009,32,10,208,21
2020-03-02,32,28,0.0,11.6,1,1,51,11:32 AM,No moonset,06:07 AM,06:07 PM,24,34,34,29,23,32,75,0.6,1011,32,10,201,17
2020-03-03,31,28,0.0,10.2,1,1,58,12:21 PM,12:14 AM,06:06 AM,06:07 PM,24,34,34,29,17,43,74,0.7,1012,31,10,195,13
2020-03-04,32,27,0.0,11.6,1,1,65,01:15 PM,01:08 AM,06:06 AM,06:07 PM,24,34,34,29,19,28,74,0.4,1011,32,10,192,15
2020-03-05,33,28,0.0,8.8,1,1,73,02:12 PM,02:04 AM,06:06 AM,06:07 PM,24,35,35,30,22,39,71,1.4,1010,33,10,206,17
2020-03-06,33,28,0.0,8.8,1,1,80,03:12 PM,03:02 AM,06:05 AM,06:07 PM,24,34,34,30,24,56,70,0.4,1009,33,9,208,18
2020-03-07,32,28,0.0,8.8,1,1,87,04:12 PM,04:00 AM,06:05 AM,06:07 PM,24,35,35,30,25,52,69,2.2,1009,32,10,209,19
2020-03-08,32,27,0.0,11.6,1,1,95,05:12 PM,04:56 AM,06:04 AM,06:07 PM,24,34,34,29,22,26,71,0.1,1010,32,10,197,17
2020-03-09,32,27,0.0,11.6,1,1,100,06:11 PM,05:51 AM,06:04 AM,06:07 PM,24,34,34,29,22,36,73,1.1,1009,32,10,206,17
2020-03-10,32,28,0.0,11.6,1,1,100,07:08 PM,06:43 AM,06:04 AM,06:07 PM,24,35,35,30,24,37,71,3.1,1008,32,9,206,18
2020-03-11,34,29,0.0,8.8,1,1,84,08:04 PM,07:35 AM,06:03 AM,06:07 PM,23,35,35,30,25,53,66,5.7,1008,34,10,228,19
2020-03-12,32,28,0.0,10.2,1,1,76,09:01 PM,08:25 AM,06:03 AM,06:07 PM,24,35,35,30,24,39,74,0.4,1008,32,10,207,18
2020-03-13,32,28,0.0,10.2,1,1,69,09:57 PM,09:16 AM,06:02 AM,06:07 PM,24,34,34,30,22,39,72,0.5,1009,32,10,201,16
2020-03-14,33,28,0.0,8.8,1,1,62,10:54 PM,10:08 AM,06:02 AM,06:06 PM,23,34,34,30,20,37,68,1.0,1009,33,10,211,15
2020-03-15,33,28,0.0,11.6,1,1,55,11:50 PM,11:01 AM,06:01 AM,06:06 PM,23,34,34,30,24,6,69,0.0,1009,33,10,205,18
2020-03-16,32,27,0.0,11.6,1,1,47,No moonrise,11:56 AM,06:01 AM,06:06 PM,24,34,34,30,25,28,73,0.0,1008,32,10,208,19
