date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,28,19,0.0,8.7,1,1,80,03:16 PM,03:19 AM,06:26 AM,05:58 PM,21,26,26,24,24,18,79,0.0,1014,28,10,91,14
2020-01-08,28,23,0.0,8.7,1,1,88,04:07 PM,04:13 AM,06:26 AM,05:59 PM,21,27,27,25,25,35,81,0.2,1015,28,10,71,16
2020-01-09,26,23,0.0,5.7,1,1,95,05:03 PM,05:11 AM,06:27 AM,05:59 PM,21,26,26,24,27,60,82,5.3,1015,26,9,73,16
2020-01-10,27,21,0.0,5.9,1,1,100,06:03 PM,06:10 AM,06:27 AM,06:00 PM,20,27,27,25,34,60,77,0.8,1015,27,10,78,22
2020-01-11,28,23,0.0,10.2,1,1,100,07:04 PM,07:09 AM,06:27 AM,06:00 PM,21,27,27,25,30,53,78,0.4,1015,28,10,70,18
2020-01-12,27,23,0.0,10.2,1,1,83,08:05 PM,08:06 AM,06:27 AM,06:01 PM,21,27,27,25,29,46,80,0.4,1016,27,10,70,18
2020-01-13,27,23,0.0,10.2,1,1,76,09:05 PM,08:59 AM,06:28 AM,06:01 PM,20,26,26,24,28,49,78,0.5,1015,27,10,67,18
2020-01-14,26,20,0.0,8.7,1,1,69,10:02 PM,09:50 AM,06:28 AM,06:02 PM,21,26,26,24,25,48,83,6.3,1013,26,9,68,15
2020-01-15,26,23,0.0,5.9,1,1,61,10:58 PM,10:37 AM,06:28 AM,06:02 PM,22,27,27,24,28,68,87,14.4,1013,26,9,75,16
2020-01-16,28,24,0.0,10.2,1,1,54,11:52 PM,11:23 AM,06:28 AM,06:03 PM,22,27,27,25,26,56,84,6.3,1014,28,10,61,16
2020-01-17,28,23,0.0,8.7,1,1,47,No moonrise,12:08 PM,06:28 AM,06:03 PM,22,27,27,25,21,50,85,2.0,1015,28,10,72,13
2020-01-18,28,23,0.0,5.9,1,1,40,12:46 AM,12:54 PM,06:29 AM,06:04 PM,22,27,27,25,23,74,84,1.4,1015,28,10,56,14
2020-01-19,26,21,0.0,7.3,1,1,32,01:41 AM,01:42 PM,06:29 AM,06:04 PM,22,26,26,24,27,70,86,6.0,1014,26,10,74,17
2020-01-20,27,23,0.0,5.9,1,1,25,02:36 AM,02:31 PM,06:29 AM,06:05 PM,22,27,27,25,23,67,86,4.3,1014,27,10,81,14
2020-01-21,28,22,0.0,11.6,1,1,18,03:33 AM,03:23 PM,06:29 AM,06:05 PM,21,27,27,25,21,27,80,0.2,1013,28,10,92,13
2020-01-22,29,22,0.0,11.6,1,1,11,04:28 AM,04:16 PM,06:29 AM,06:06 PM,20,26,26,24,17,8,76,0.0,1012,29,10,76,10
2020-01-23,28,22,0.0,11.6,1,1,3,05:23 AM,05:10 PM,06:29 AM,06:06 PM,20,26,26,24,13,19,80,0.0,1012,28,10,240,8
