date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,15,8,0.0,7.0,1,1,80,02:34 PM,04:03 AM,07:33 AM,05:19 PM,7,10,12,10,21,42,73,0.0,1027,15,10,307,15
2020-01-08,12,11,0.0,3.7,1,1,88,03:17 PM,05:06 AM,07:33 AM,05:19 PM,9,10,12,10,19,95,82,23.3,1025,12,7,227,13
2020-01-09,16,11,0.0,8.7,1,1,95,04:07 PM,06:09 AM,07:33 AM,05:20 PM,9,12,13,12,14,52,77,0.7,1026,16,9,133,9
2020-01-10,16,10,0.0,8.7,1,1,100,05:06 PM,07:10 AM,07:33 AM,05:21 PM,8,12,13,12,12,20,71,0.5,1024,16,10,162,8
2020-01-11,15,10,0.0,7.0,1,1,100,06:11 PM,08:07 AM,07:32 AM,05:22 PM,7,12,12,12,9,34,69,0.2,1024,15,10,42,7
2020-01-12,15,9,0.0,8.7,1,1,83,07:21 PM,08:57 AM,07:32 AM,05:23 PM,7,11,12,11,11,55,74,0.2,1024,15,10,104,8
2020-01-13,15,11,0.0,8.7,1,1,76,08:32 PM,09:42 AM,07:32 AM,05:24 PM,7,12,12,12,13,29,69,0.3,1024,15,10,128,9
2020-01-14,16,8,0.0,8.7,1,1,69,09:43 PM,10:20 AM,07:32 AM,05:25 PM,7,11,12,11,11,16,73,0.0,1025,16,10,205,7
2020-01-15,16,11,0.0,8.7,1,1,61,10:52 PM,10:55 AM,07:32 AM,05:26 PM,8,13,13,13,7,3,70,0.0,1027,16,10,110,5
2020-01-16,15,9,0.0,7.0,1,1,54,No moonrise,11:28 AM,07:31 AM,05:27 PM,7,12,12,12,7,25,72,0.0,1029,15,10,199,5
2020-01-17,14,8,0.0,8.7,1,1,47,12:01 AM,12:00 PM,07:31 AM,05:28 PM,6,10,11,10,15,44,73,0.1,1029,14,10,291,10
2020-01-18,15,9,0.0,3.7,1,1,40,01:08 AM,12:33 PM,07:31 AM,05:29 PM,7,10,12,10,27,56,76,0.2,1028,15,10,310,17
