date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,5,-6,0.6,3.5,1,1,80,02:54 PM,04:35 AM,08:10 AM,05:39 PM,1,-2,1,-2,20,95,93,7.3,1010,5,6,74,12
2020-01-08,7,-1,0.0,3.5,1,1,88,03:35 PM,05:39 AM,08:10 AM,05:40 PM,-1,-1,2,-1,23,84,81,4.4,1017,7,8,129,14
2020-01-09,3,-7,0.0,8.7,1,1,95,04:24 PM,06:43 AM,08:10 AM,05:41 PM,-7,-5,-2,-5,15,18,64,0.0,1025,3,10,236,10
2020-01-10,4,-6,0.0,8.7,1,1,100,05:22 PM,07:45 AM,08:10 AM,05:42 PM,-6,-2,-1,-2,3,11,69,0.0,1027,4,10,277,2
2020-01-11,4,-3,0.0,8.7,1,1,100,06:27 PM,08:42 AM,08:10 AM,05:43 PM,-5,-0,-0,-0,4,6,69,0.0,1027,4,10,101,2
2020-01-12,4,-2,0.0,8.7,1,1,83,07:39 PM,09:32 AM,08:09 AM,05:44 PM,-4,-1,0,-1,6,43,74,0.0,1026,4,10,293,4
2020-01-13,5,-3,0.0,8.7,1,1,76,08:51 PM,10:14 AM,08:09 AM,05:45 PM,-3,-0,0,-0,6,4,81,0.0,1029,5,10,210,3
2020-01-14,7,-3,0.0,8.7,1,1,69,10:04 PM,10:51 AM,08:09 AM,05:46 PM,-3,1,1,1,5,6,76,0.0,1027,7,10,111,3
2020-01-15,7,-5,0.0,8.7,1,1,61,11:16 PM,11:25 AM,08:09 AM,05:47 PM,-3,-0,1,-0,8,3,71,0.0,1029,7,10,31,4
2020-01-16,6,-3,0.0,8.7,1,1,54,No moonrise,11:55 AM,08:08 AM,05:48 PM,-3,-1,2,-1,12,3,74,0.0,1026,6,10,46,8
2020-01-17,5,-2,0.0,8.7,1,1,47,12:26 AM,12:25 PM,08:08 AM,05:50 PM,-5,-2,0,-2,11,10,68,0.0,1024,5,10,18,7
2020-01-18,3,-5,0.0,8.7,1,1,40,01:36 AM,12:56 PM,08:07 AM,05:51 PM,-6,-4,-2,-4,10,10,74,0.0,1024,3,10,232,6
2020-01-19,1,-4,0.3,5.3,1,1,32,02:45 AM,01:30 PM,08:07 AM,05:52 PM,-6,-4,-2,-4,8,54,74,0.4,1023,1,9,43,6
2020-01-20,1,-5,0.1,5.3,1,1,25,03:53 AM,02:07 PM,08:06 AM,05:53 PM,-6,-5,-2,-5,13,49,73,0.2,1031,1,10,332,8
2020-01-21,2,-8,0.0,8.7,1,1,18,04:59 AM,02:49 PM,08:06 AM,05:54 PM,-7,-6,-3,-6,14,14,74,0.0,1035,2,10,333,9
2020-01-22,2,-5,0.0,8.7,1,1,11,06:02 AM,03:37 PM,08:05 AM,05:55 PM,-6,-3,-2,-3,6,17,74,0.0,1031,2,10,253,4
2020-01-23,3,-9,0.0,5.3,1,1,3,07:00 AM,04:30 PM,08:05 AM,05:56 PM,-7,-5,-2,-5,18,54,70,0.2,1024,3,10,306,12
2020-01-24,0,-9,0.0,8.7,1,1,0,07:50 AM,05:28 PM,08:04 AM,05:57 PM,-7,-7,-3,-7,10,28,71,0.0,1033,0,10,306,8
2020-01-25,3,-4,0.0,8.7,1,1,0,08:33 AM,06:28 PM,08:03 AM,05:59 PM,-6,-1,-1,-1,4,1,65,0.0,1032,3,10,261,2
2020-01-26,5,-5,0.0,9.9,1,1,4,09:10 AM,07:29 PM,08:03 AM,06:00 PM,-7,-1,-1,-1,4,25,62,0.0,1028,5,10,288,2
2020-01-27,6,-3,0.0,9.9,1,1,11,09:42 AM,08:28 PM,08:02 AM,06:01 PM,-5,1,1,1,6,51,66,0.0,1024,6,10,57,3
2020-01-28,4,-0,0.0,5.0,1,1,18,10:10 AM,09:27 PM,08:01 AM,06:02 PM,-0,1,2,1,8,89,88,5.1,1016,4,6,153,4
