date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,0,-7,0.0,8.5,1,1,80,01:33 PM,04:13 AM,07:57 AM,04:11 PM,-4,-3,-2,-3,6,22,79,0.0,1029,0,10,293,5
2020-01-08,1,-4,0.0,8.6,1,1,88,02:07 PM,05:25 AM,07:57 AM,04:12 PM,-4,-4,-1,-4,13,30,79,0.0,1029,1,10,244,9
2020-01-09,2,-1,0.0,3.2,1,1,95,02:52 PM,06:33 AM,07:57 AM,04:13 PM,-1,-3,0,-3,18,92,93,0.7,1023,2,5,279,11
2020-01-10,1,-7,0.0,3.2,1,1,100,03:49 PM,07:38 AM,07:56 AM,04:15 PM,1,-3,0,-3,15,100,97,5.5,1019,1,3,199,9
2020-01-11,5,2,0.2,3.2,1,1,100,04:58 PM,08:32 AM,07:56 AM,04:16 PM,1,-1,3,-1,30,97,88,0.6,1017,5,9,287,19
2020-01-12,3,-3,0.0,8.6,1,1,83,06:15 PM,09:16 AM,07:55 AM,04:17 PM,-2,-3,1,-3,20,15,81,0.0,1026,3,10,254,14
2020-01-13,3,-1,0.0,5.1,1,1,76,07:37 PM,09:51 AM,07:54 AM,04:19 PM,-1,-2,2,-2,26,67,83,0.0,1022,3,10,282,17
2020-01-14,4,1,0.0,5.1,1,1,69,08:59 PM,10:19 AM,07:54 AM,04:20 PM,1,-0,2,-0,12,68,91,0.0,1025,4,10,270,8
2020-01-15,4,1,0.0,8.7,1,1,61,10:20 PM,10:44 AM,07:53 AM,04:22 PM,-1,-2,2,-2,24,21,83,0.0,1030,4,10,200,15
2020-01-16,2,0,0.0,8.7,1,1,54,11:40 PM,11:06 AM,07:52 AM,04:23 PM,-1,-3,1,-3,22,37,88,0.0,1030,2,10,229,15
2020-01-17,6,0,0.0,8.7,1,1,47,No moonrise,11:28 AM,07:51 AM,04:25 PM,0,-1,1,-1,11,31,91,0.0,1032,6,7,218,7
2020-01-18,4,-1,0.0,8.7,1,1,40,12:59 AM,11:50 AM,07:51 AM,04:26 PM,-1,-2,1,-2,12,13,85,0.0,1030,4,10,183,10
2020-01-19,5,-1,0.0,8.7,1,1,32,02:16 AM,12:15 PM,07:50 AM,04:28 PM,-2,-0,2,-0,8,4,80,0.0,1031,5,10,219,7
2020-01-20,1,-4,0.0,3.3,1,1,25,03:33 AM,12:44 PM,07:49 AM,04:29 PM,-2,-4,-0,-4,18,59,87,0.0,1038,1,10,314,13
2020-01-21,3,-4,0.0,6.9,1,1,18,04:46 AM,01:21 PM,07:48 AM,04:31 PM,-2,-4,1,-4,35,68,76,0.0,1029,3,10,287,23
2020-01-22,2,1,1.0,3.3,1,1,11,05:54 AM,02:05 PM,07:47 AM,04:33 PM,-1,-4,2,-4,40,90,84,1.8,1015,2,5,288,27
2020-01-23,1,-0,0.4,3.3,1,1,3,06:52 AM,02:58 PM,07:46 AM,04:34 PM,-4,-6,0,-6,35,89,73,0.8,1021,1,6,320,24
2020-01-24,2,-1,0.0,3.3,1,1,0,07:41 AM,03:58 PM,07:44 AM,04:36 PM,-3,-5,0,-5,30,81,80,0.0,1021,2,10,265,20
2020-01-25,3,-0,0.0,3.4,1,1,0,08:19 AM,05:03 PM,07:43 AM,04:38 PM,-3,-4,1,-4,30,81,78,0.0,1016,3,10,285,20
2020-01-26,4,-2,0.0,8.7,1,1,4,08:50 AM,06:10 PM,07:42 AM,04:39 PM,-1,-2,1,-2,15,44,87,0.0,1022,4,10,251,10
2020-01-27,5,-0,0.0,6.9,1,1,11,09:15 AM,07:18 PM,07:41 AM,04:41 PM,-1,-1,2,-1,13,33,82,0.0,1018,5,10,215,8
2020-01-28,5,1,0.0,8.7,1,1,18,09:36 AM,08:24 PM,07:40 AM,04:43 PM,0,-0,2,-0,14,47,87,0.0,1011,5,10,192,8
2020-01-29,4,-7,5.0,3.4,1,1,26,09:54 AM,09:29 PM,07:38 AM,04:44 PM,0,-3,1,-3,28,89,90,6.5,1001,4,7,207,19
2020-01-30,3,1,0.2,3.4,1,1,33,10:11 AM,10:34 PM,07:37 AM,04:46 PM,-1,-4,1,-4,36,98,87,0.9,1004,3,6,282,24
2020-01-31,3,-5,7.0,3.4,1,1,37,10:29 AM,11:40 PM,07:36 AM,04:48 PM,1,-3,1,-3,22,89,94,8.3,1004,3,6,212,15
2020-02-01,4,-2,0.1,3.4,1,1,49,10:47 AM,No moonset,07:34 AM,04:50 PM,2,-0,2,-0,18,97,92,0.3,1006,4,7,251,12
2020-02-02,9,6,0.0,5.2,1,1,57,11:07 AM,12:46 AM,07:33 AM,04:51 PM,4,3,7,3,34,70,82,0.5,1002,9,8,262,21
2020-02-03,4,-3,0.0,7.0,1,1,64,11:32 AM,01:54 AM,07:31 AM,04:53 PM,-1,-1,3,-1,28,68,76,0.1,1001,4,10,301,20
2020-02-04,4,-3,0.3,7.0,1,1,72,12:01 PM,03:03 AM,07:30 AM,04:55 PM,-1,-2,2,-2,17,66,81,4.3,1002,4,9,187,12
2020-02-05,0,-2,4.2,3.5,1,1,79,12:40 PM,04:12 AM,07:28 AM,04:57 PM,-4,-6,0,-6,34,73,75,11.2,1008,0,5,36,25
2020-02-06,2,-8,1.2,7.0,1,1,87,01:30 PM,05:18 AM,07:26 AM,04:58 PM,-7,-5,-1,-5,24,44,63,1.7,1014,2,8,280,18
2020-02-07,-3,-5,1.0,5.3,1,1,95,02:33 PM,06:17 AM,07:25 AM,05:00 PM,-10,-11,-4,-11,33,69,63,1.7,1018,-3,7,346,23
2020-02-08,-1,-6,0.0,3.7,1,1,100,03:48 PM,07:07 AM,07:23 AM,05:02 PM,-8,-9,-4,-9,18,75,72,0.0,1026,-1,10,305,13
2020-02-09,1,-4,0.0,5.4,1,1,100,05:10 PM,07:47 AM,07:21 AM,05:04 PM,-5,-5,-2,-5,14,46,82,0.0,1028,1,10,200,9
2020-02-10,3,-3,0.0,8.7,1,1,83,06:34 PM,08:18 AM,07:20 AM,05:06 PM,-4,-5,1,-5,48,43,73,2.8,1011,3,10,196,31
2020-02-11,4,-2,3.7,5.4,1,1,75,07:59 PM,08:45 AM,07:18 AM,05:07 PM,1,-2,2,-2,28,84,88,8.4,996,4,7,215,19
2020-02-12,2,1,0.8,3.7,1,1,68,09:23 PM,09:09 AM,07:16 AM,05:09 PM,-1,-3,2,-3,29,99,84,0.9,1003,2,8,284,20
2020-02-13,2,-3,0.1,3.7,1,1,60,10:45 PM,09:31 AM,07:14 AM,05:11 PM,-1,-4,1,-4,27,83,87,0.4,1014,2,9,282,18
2020-02-14,5,-0,0.0,5.4,1,1,53,No moonrise,09:54 AM,07:13 AM,05:13 PM,-3,-1,2,-1,20,73,72,0.0,1020,5,10,168,13
2020-02-15,3,1,0.0,3.8,1,1,45,12:05 AM,10:18 AM,07:11 AM,05:14 PM,1,1,2,1,10,95,93,0.2,1025,3,6,276,7
2020-02-16,6,2,0.0,7.1,1,1,38,01:24 AM,10:47 AM,07:09 AM,05:16 PM,0,0,3,0,21,49,80,0.0,1030,6,9,199,14
2020-02-17,8,2,0.0,8.7,1,1,30,02:38 AM,11:21 AM,07:07 AM,05:18 PM,-0,1,5,1,34,32,68,0.0,1022,8,10,210,21
2020-02-18,7,3,0.0,5.4,1,1,22,03:48 AM,12:02 PM,07:05 AM,05:20 PM,2,3,6,3,20,54,80,0.0,1017,7,10,261,13
2020-02-19,8,2,0.0,8.7,1,1,15,04:48 AM,12:52 PM,07:03 AM,05:21 PM,0,3,5,3,17,12,73,0.0,1019,8,10,273,12
2020-02-20,7,3,0.0,3.8,1,1,7,05:39 AM,01:49 PM,07:01 AM,05:23 PM,-0,3,5,3,8,86,72,0.0,1020,7,10,213,6
2020-02-21,6,2,0.0,4.0,1,1,0,06:19 AM,02:53 PM,06:59 AM,05:25 PM,0,2,4,2,12,80,79,0.2,1022,6,10,171,9
2020-02-22,6,1,0.0,4.0,1,1,0,06:52 AM,03:59 PM,06:57 AM,05:27 PM,-2,0,3,0,17,77,70,0.0,1025,6,10,227,11
2020-02-23,7,3,0.0,4.0,1,1,0,07:19 AM,05:06 PM,06:55 AM,05:28 PM,1,1,5,1,34,83,75,0.4,1010,7,9,268,23
2020-02-24,5,2,0.0,4.0,1,1,0,07:41 AM,06:12 PM,06:53 AM,05:30 PM,0,-1,4,-1,43,77,79,10.3,998,5,6,331,30
2020-02-25,5,-3,0.0,4.1,1,1,8,07:59 AM,07:19 PM,06:51 AM,05:32 PM,-1,-1,3,-1,22,76,77,0.0,1008,5,10,223,16
2020-02-26,10,5,0.0,4.1,1,1,15,08:17 AM,08:23 PM,06:49 AM,05:34 PM,2,4,7,4,23,84,72,0.3,996,10,9,197,15
2020-02-27,7,4,0.0,4.1,1,1,23,08:34 AM,09:29 PM,06:47 AM,05:35 PM,1,3,6,3,17,74,76,0.6,998,7,10,301,13
2020-02-28,5,2,0.0,7.2,1,1,30,08:51 AM,10:34 PM,06:45 AM,05:37 PM,-3,0,3,0,17,51,66,0.0,1007,5,10,280,13
2020-02-29,6,1,0.0,7.2,1,1,38,09:10 AM,11:41 PM,06:43 AM,05:39 PM,-2,1,4,1,16,27,67,0.0,1015,6,10,258,12
2020-03-01,7,2,0.0,4.1,1,1,44,09:32 AM,No moonset,06:41 AM,05:40 PM,-1,1,5,1,34,67,63,0.0,1014,7,10,198,22
2020-03-02,7,1,0.0,4.1,1,1,51,09:59 AM,12:48 AM,06:39 AM,05:42 PM,2,1,5,1,34,92,81,5.9,1008,7,9,165,24
2020-03-03,12,5,0.0,8.7,1,1,58,10:32 AM,01:56 AM,06:37 AM,05:44 PM,4,6,9,6,21,35,73,0.7,1008,12,10,185,14
2020-03-04,15,7,0.0,8.7,1,1,65,11:16 AM,03:02 AM,06:35 AM,05:45 PM,7,9,11,9,21,42,78,0.0,1008,15,8,147,14
2020-03-05,15,9,0.0,7.2,1,1,73,12:10 PM,04:02 AM,06:33 AM,05:47 PM,7,11,12,11,15,77,72,0.2,1008,15,10,185,10
2020-03-06,13,9,0.0,5.7,1,1,80,01:19 PM,04:55 AM,06:30 AM,05:49 PM,8,10,11,10,10,76,80,3.6,1007,13,10,184,7
2020-03-07,15,9,0.0,5.7,1,1,87,02:36 PM,05:39 AM,06:28 AM,05:50 PM,6,11,12,11,13,73,72,3.3,1008,15,10,200,9
2020-03-08,12,9,0.0,5.7,1,1,95,04:01 PM,06:14 AM,06:26 AM,05:52 PM,6,10,10,10,8,81,76,2.4,1016,12,8,84,6
2020-03-09,9,2,0.0,4.2,1,1,100,05:27 PM,06:43 AM,06:24 AM,05:54 PM,7,7,8,7,9,97,89,7.5,1016,9,9,96,6
2020-03-10,11,7,0.0,4.2,1,1,100,06:53 PM,07:08 AM,06:22 AM,05:55 PM,6,7,9,7,16,75,83,0.0,1011,11,8,356,12
