date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,22,19,0.0,8.7,1,1,80,02:56 PM,03:38 AM,07:08 AM,05:50 PM,10,21,22,21,24,0,52,0.0,1018,22,10,330,17
2020-01-08,23,18,0.0,8.7,1,1,88,03:42 PM,04:35 AM,07:08 AM,05:50 PM,7,20,21,20,14,2,43,0.0,1017,23,10,155,8
2020-01-09,25,19,0.0,8.7,1,1,95,04:34 PM,05:35 AM,07:08 AM,05:51 PM,9,22,22,22,15,41,47,2.5,1015,25,10,175,10
2020-01-10,24,16,0.0,3.9,1,1,100,05:33 PM,06:35 AM,07:08 AM,05:52 PM,15,19,20,19,41,79,68,22.9,1011,24,8,150,26
2020-01-11,21,18,0.0,3.9,1,1,100,06:35 PM,07:34 AM,07:08 AM,05:52 PM,13,20,21,20,46,67,67,52.7,1010,21,8,296,32
2020-01-12,18,12,0.0,3.9,1,1,83,07:41 PM,08:28 AM,07:08 AM,05:53 PM,9,17,18,17,50,72,58,4.1,1017,18,10,292,36
2020-01-13,20,18,0.0,7.1,1,1,76,08:46 PM,09:18 AM,07:08 AM,05:54 PM,11,19,19,19,27,23,60,0.2,1018,20,10,303,19
2020-01-14,20,17,0.0,8.7,1,1,69,09:50 PM,10:04 AM,07:09 AM,05:55 PM,9,18,18,18,29,17,54,0.0,1017,20,10,283,21
2020-01-15,20,16,0.0,8.7,1,1,61,10:52 PM,10:46 AM,07:09 AM,05:55 PM,8,18,18,18,33,26,53,1.3,1020,20,10,63,24
2020-01-16,20,16,0.0,8.7,1,1,54,11:53 PM,11:26 AM,07:08 AM,05:56 PM,5,18,18,18,20,0,43,0.0,1023,20,10,246,13
2020-01-17,22,16,0.0,8.7,1,1,47,No moonrise,12:05 PM,07:08 AM,05:57 PM,8,19,20,19,20,0,47,0.0,1021,22,10,44,13
2020-01-18,24,17,0.0,8.7,1,1,40,12:54 AM,12:44 PM,07:08 AM,05:58 PM,7,20,21,20,16,0,43,0.0,1018,24,10,171,9
2020-01-19,24,19,0.0,8.7,1,1,32,01:54 AM,01:26 PM,07:08 AM,05:58 PM,8,21,22,21,17,0,42,0.0,1017,24,10,208,10
2020-01-20,24,19,0.0,8.7,1,1,25,02:54 AM,02:10 PM,07:08 AM,05:59 PM,11,21,22,21,20,2,54,0.0,1016,24,10,242,13
2020-01-21,21,19,0.0,10.9,1,1,18,03:55 AM,02:57 PM,07:08 AM,06:00 PM,11,20,20,20,23,0,59,0.0,1017,21,10,312,16
2020-01-22,24,17,0.0,10.9,1,1,11,04:53 AM,03:48 PM,07:08 AM,06:00 PM,9,20,20,20,15,2,51,0.0,1017,24,10,147,10
2020-01-23,25,19,0.0,10.9,1,1,3,05:50 AM,04:42 PM,07:08 AM,06:01 PM,13,22,22,21,33,8,60,0.0,1016,25,10,187,22
2020-01-24,20,19,0.0,10.1,1,1,0,06:42 AM,05:37 PM,07:07 AM,06:02 PM,13,19,19,19,25,49,70,0.0,1018,20,10,311,19
2020-01-25,21,18,0.0,11.0,1,1,0,07:29 AM,06:32 PM,07:07 AM,06:03 PM,9,19,20,19,18,20,53,0.0,1019,21,10,346,13
2020-01-26,18,9,0.0,11.0,1,1,4,08:12 AM,07:27 PM,07:07 AM,06:03 PM,9,16,16,16,40,17,59,0.4,1019,18,10,289,30
2020-01-27,19,17,0.0,7.0,1,1,11,08:51 AM,08:19 PM,07:07 AM,06:04 PM,11,18,18,18,40,54,66,0.4,1020,19,10,309,29
2020-01-28,20,17,0.0,11.0,1,1,18,09:26 AM,09:11 PM,07:06 AM,06:05 PM,10,18,18,18,22,31,61,0.1,1020,20,10,310,16
2020-01-29,20,16,0.0,10.1,1,1,26,09:59 AM,10:01 PM,07:06 AM,06:05 PM,9,18,18,18,12,19,56,0.0,1019,20,10,317,8
2020-01-30,21,16,0.0,11.0,1,1,33,10:31 AM,10:51 PM,07:06 AM,06:06 PM,9,18,18,18,11,1,55,0.0,1019,21,10,292,8
2020-01-31,21,16,0.0,11.0,1,1,37,11:03 AM,11:41 PM,07:05 AM,06:07 PM,8,18,18,18,11,0,52,0.0,1018,21,10,240,7
2020-02-01,21,16,0.0,11.0,1,1,49,11:36 AM,No moonset,07:05 AM,06:08 PM,7,18,19,18,11,4,50,0.0,1017,21,10,195,7
2020-02-02,22,17,0.0,11.0,1,1,57,12:10 PM,12:31 AM,07:04 AM,06:08 PM,9,19,20,19,18,21,53,0.0,1018,22,10,256,12
2020-02-03,20,17,0.0,11.1,1,1,64,12:48 PM,01:25 AM,07:04 AM,06:09 PM,11,18,18,18,32,0,61,0.0,1020,20,10,304,24
2020-02-04,20,16,0.0,11.1,1,1,72,01:31 PM,02:20 AM,07:03 AM,06:10 PM,10,18,18,18,22,4,61,0.0,1019,20,10,304,15
2020-02-05,21,16,0.0,11.1,1,1,79,02:19 PM,03:18 AM,07:03 AM,06:10 PM,11,19,20,19,13,1,61,0.0,1018,21,10,216,9
2020-02-06,23,17,0.0,11.1,1,1,87,03:14 PM,04:16 AM,07:02 AM,06:11 PM,13,20,20,20,12,2,65,0.0,1019,23,10,234,8
2020-02-07,25,18,0.0,11.1,1,1,95,04:14 PM,05:16 AM,07:02 AM,06:12 PM,13,21,22,21,13,4,61,0.0,1018,25,10,253,8
2020-02-08,27,19,0.0,11.1,1,1,100,05:19 PM,06:12 AM,07:01 AM,06:12 PM,10,23,23,23,14,3,45,0.0,1018,27,10,133,7
2020-02-09,27,21,0.0,11.1,1,1,100,06:26 PM,07:06 AM,07:01 AM,06:13 PM,10,25,25,24,33,8,41,0.0,1016,27,10,178,19
2020-02-10,25,21,0.0,11.1,1,1,83,07:33 PM,07:55 AM,07:00 AM,06:14 PM,13,24,24,23,29,6,56,0.0,1015,25,10,223,18
2020-02-11,20,18,0.0,8.7,1,1,75,08:38 PM,08:40 AM,06:59 AM,06:14 PM,12,20,20,20,33,32,64,0.0,1016,20,10,326,24
