date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,0,-7,1.7,6.9,1,1,80,02:58 PM,05:03 AM,08:22 AM,05:31 PM,-6,-5,-3,-5,9,76,81,2.2,1015,0,8,257,5
2020-01-08,1,-9,1.5,5.2,1,1,88,03:39 PM,06:09 AM,08:22 AM,05:32 PM,-7,-7,-3,-7,20,80,81,2.7,1012,1,7,269,14
2020-01-09,-6,-14,0.1,8.7,1,1,95,04:29 PM,07:15 AM,08:21 AM,05:33 PM,-15,-14,-10,-14,14,32,71,0.1,1036,-6,10,314,9
2020-01-10,5,-9,0.0,3.4,1,1,100,05:30 PM,08:15 AM,08:21 AM,05:34 PM,-4,-5,-1,-5,14,73,82,0.1,1031,5,8,197,8
2020-01-11,12,2,0.0,3.4,1,1,100,06:39 PM,09:09 AM,08:21 AM,05:35 PM,7,5,7,5,26,93,94,0.2,1019,12,6,203,14
2020-01-12,14,-3,0.0,5.2,1,1,83,07:53 PM,09:55 AM,08:21 AM,05:36 PM,4,5,7,5,25,71,82,15.6,1015,14,9,275,16
2020-01-13,1,-5,0.0,5.2,1,1,76,09:08 PM,10:34 AM,08:20 AM,05:37 PM,-5,-4,-2,-4,9,71,80,0.1,1031,1,10,168,6
2020-01-14,3,-2,0.3,6.9,1,1,69,10:23 PM,11:07 AM,08:20 AM,05:38 PM,-3,-2,-0,-2,7,69,86,0.9,1025,3,8,132,5
2020-01-15,5,-2,0.0,8.7,1,1,61,11:38 PM,11:37 AM,08:19 AM,05:40 PM,-2,-1,1,-1,12,44,82,1.0,1018,5,10,292,8
2020-01-16,2,-8,8.3,3.5,1,1,54,No moonrise,12:05 PM,08:19 AM,05:41 PM,-5,-6,-2,-6,17,83,83,9.8,1012,2,5,327,14
2020-01-17,-11,-15,0.0,8.7,1,1,47,12:50 AM,12:33 PM,08:18 AM,05:42 PM,-19,-21,-13,-21,20,14,59,0.0,1034,-11,10,315,16
