date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,26,20,0.0,4.1,1,1,80,03:17 PM,03:43 AM,06:52 AM,05:57 PM,21,27,27,25,36,75,77,2.9,1017,26,10,94,25
2020-01-08,27,26,0.0,5.7,1,1,88,04:06 PM,04:39 AM,06:52 AM,05:58 PM,22,29,29,27,40,64,77,2.0,1019,27,10,92,29
2020-01-09,27,23,0.0,4.1,1,1,95,05:01 PM,05:39 AM,06:53 AM,05:58 PM,22,29,29,26,48,66,76,3.2,1020,27,10,80,36
2020-01-10,27,20,0.0,4.1,1,1,100,06:01 PM,06:38 AM,06:53 AM,05:59 PM,21,28,28,25,58,80,73,4.9,1020,27,9,81,44
2020-01-11,26,19,0.0,5.7,1,1,100,07:04 PM,07:36 AM,06:53 AM,06:00 PM,21,27,27,25,65,73,73,3.2,1021,26,10,73,47
2020-01-12,26,22,0.0,10.1,1,1,83,08:07 PM,08:31 AM,06:53 AM,06:00 PM,21,27,27,25,66,58,74,2.8,1021,26,10,80,46
2020-01-13,26,26,0.0,5.7,1,1,76,09:10 PM,09:22 AM,06:53 AM,06:01 PM,20,27,27,26,68,70,71,2.4,1020,26,9,75,48
2020-01-14,26,24,0.0,5.7,1,1,69,10:10 PM,10:09 AM,06:53 AM,06:02 PM,20,27,27,25,58,78,73,8.6,1019,26,9,82,42
2020-01-15,26,25,0.0,5.7,1,1,61,11:10 PM,10:53 AM,06:54 AM,06:02 PM,21,27,27,25,50,67,75,6.5,1018,26,10,85,36
2020-01-16,26,25,0.0,5.7,1,1,54,No moonrise,11:36 AM,06:54 AM,06:03 PM,21,27,27,25,34,69,76,1.2,1018,26,10,63,25
2020-01-17,26,25,0.0,10.1,1,1,47,12:07 AM,12:17 PM,06:54 AM,06:03 PM,21,27,27,25,31,54,75,0.3,1018,26,10,70,23
2020-01-18,26,25,0.0,8.7,1,1,40,01:05 AM,01:00 PM,06:54 AM,06:04 PM,21,27,27,25,46,67,77,1.0,1019,26,10,52,36
2020-01-19,25,20,0.0,5.8,1,1,32,02:03 AM,01:44 PM,06:54 AM,06:05 PM,21,26,26,24,57,80,80,6.2,1018,25,10,74,41
2020-01-20,25,23,0.0,5.8,1,1,25,03:01 AM,02:31 PM,06:54 AM,06:05 PM,21,27,27,25,45,77,80,7.9,1017,25,10,108,32
2020-01-21,25,21,0.0,10.1,1,1,18,03:59 AM,03:22 PM,06:54 AM,06:06 PM,21,27,27,25,40,51,78,2.3,1015,25,10,116,28
2020-01-22,26,21,0.0,8.7,1,1,11,04:56 AM,04:14 PM,06:54 AM,06:06 PM,22,27,27,24,34,57,80,0.9,1013,26,10,138,25
2020-01-23,26,25,0.0,5.8,1,1,3,05:51 AM,05:09 PM,06:54 AM,06:07 PM,22,28,28,26,23,67,80,3.6,1012,26,10,214,17
2020-01-24,26,20,0.0,5.8,1,1,0,06:42 AM,06:03 PM,06:53 AM,06:08 PM,21,27,27,24,24,71,78,4.6,1014,26,10,17,17
2020-01-25,25,20,0.0,5.8,1,1,0,07:29 AM,06:56 PM,06:53 AM,06:08 PM,21,26,26,24,22,70,77,4.5,1015,25,10,48,15
2020-01-26,26,25,0.0,7.2,1,1,4,08:12 AM,07:49 PM,06:53 AM,06:09 PM,21,27,27,25,26,67,75,3.3,1015,26,10,66,18
2020-01-27,25,21,0.0,7.2,1,1,11,08:52 AM,08:38 PM,06:53 AM,06:09 PM,21,27,27,25,23,71,78,10.1,1015,25,10,85,15
2020-01-28,27,25,0.0,5.8,1,1,18,09:29 AM,09:27 PM,06:53 AM,06:10 PM,21,28,28,26,8,73,74,4.3,1014,27,10,141,6
2020-01-29,27,23,0.0,11.6,1,1,26,10:04 AM,10:14 PM,06:53 AM,06:11 PM,21,28,28,26,14,34,72,0.1,1014,27,10,335,10
2020-01-30,27,21,0.0,7.2,1,1,33,10:38 AM,11:02 PM,06:52 AM,06:11 PM,21,27,27,25,17,60,74,1.1,1016,27,10,124,13
2020-01-31,27,26,0.0,7.3,1,1,37,11:12 AM,11:50 PM,06:52 AM,06:12 PM,22,29,29,26,21,51,76,0.5,1017,27,10,99,16
2020-02-01,26,25,0.0,5.8,1,1,49,11:48 AM,No moonset,06:52 AM,06:12 PM,22,28,28,26,31,73,79,3.1,1018,26,10,92,23
2020-02-02,26,19,0.0,7.3,1,1,57,12:25 PM,12:39 AM,06:52 AM,06:13 PM,21,27,27,25,21,65,75,3.2,1017,26,10,161,16
2020-02-03,26,21,0.0,11.6,1,1,64,01:07 PM,01:30 AM,06:51 AM,06:13 PM,20,27,27,25,17,20,71,0.0,1018,26,10,111,12
2020-02-04,26,25,0.0,8.7,1,1,72,01:53 PM,02:24 AM,06:51 AM,06:14 PM,21,28,28,26,31,57,75,0.8,1018,26,10,88,23
2020-02-05,26,25,0.0,7.3,1,1,79,02:45 PM,03:21 AM,06:51 AM,06:14 PM,22,28,28,26,40,64,79,1.2,1018,26,10,90,29
2020-02-06,27,25,0.0,8.7,1,1,87,03:42 PM,04:19 AM,06:50 AM,06:15 PM,22,29,29,26,45,61,77,3.3,1018,27,10,107,33
2020-02-07,27,25,0.0,5.8,1,1,95,04:43 PM,05:19 AM,06:50 AM,06:15 PM,22,29,29,26,44,67,76,3.3,1019,27,10,106,33
2020-02-08,26,22,0.0,5.8,1,1,100,05:48 PM,06:15 AM,06:50 AM,06:16 PM,21,27,27,25,47,68,75,0.7,1019,26,10,82,37
2020-02-09,26,22,0.0,10.2,1,1,100,06:52 PM,07:09 AM,06:49 AM,06:16 PM,21,28,28,25,45,55,76,3.2,1019,26,10,96,32
2020-02-10,26,22,0.0,11.6,1,1,83,07:56 PM,08:00 AM,06:49 AM,06:17 PM,21,27,27,25,46,43,76,1.2,1020,26,10,95,32
2020-02-11,26,24,0.0,8.7,1,1,75,08:58 PM,08:46 AM,06:48 AM,06:17 PM,21,27,27,25,46,66,76,1.1,1019,26,10,81,34
2020-02-12,25,17,0.0,8.7,1,1,68,09:59 PM,09:31 AM,06:48 AM,06:18 PM,21,26,26,23,50,64,77,3.2,1019,25,10,83,35
