date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,15,10,0.0,8.4,1,1,80,03:49 PM,04:54 AM,08:03 AM,06:23 PM,7,12,13,12,25,53,67,0.3,1026,15,10,239,16
2020-01-08,16,7,0.0,10.2,1,1,88,04:35 PM,05:55 AM,08:03 AM,06:24 PM,5,10,11,10,20,6,68,0.0,1028,16,10,111,12
2020-01-09,20,12,0.0,6.7,1,1,95,05:30 PM,06:56 AM,08:03 AM,06:24 PM,13,15,16,15,32,53,84,0.0,1023,20,10,146,18
2020-01-10,23,17,0.0,10.0,1,1,100,06:30 PM,07:56 AM,08:03 AM,06:25 PM,18,20,21,20,37,60,87,1.3,1017,23,10,162,22
2020-01-11,21,12,0.0,10.0,1,1,100,07:35 PM,08:52 AM,08:03 AM,06:26 PM,15,17,19,17,43,40,83,29.5,1015,21,9,282,26
2020-01-12,16,6,0.0,10.0,1,1,83,08:42 PM,09:43 AM,08:03 AM,06:27 PM,8,10,11,10,15,31,81,0.5,1023,16,10,117,10
2020-01-13,20,14,0.0,5.1,1,1,76,09:50 PM,10:29 AM,08:03 AM,06:28 PM,17,17,17,17,17,93,95,12.1,1023,20,8,102,10
2020-01-14,23,19,0.0,8.4,1,1,69,10:56 PM,11:11 AM,08:03 AM,06:29 PM,19,20,21,20,18,67,93,0.0,1022,23,5,178,11
2020-01-15,24,19,0.0,10.0,1,1,61,No moonrise,11:49 AM,08:03 AM,06:29 PM,19,21,21,21,18,68,93,0.0,1021,24,6,197,11
2020-01-16,23,17,0.0,8.4,1,1,54,12:01 AM,12:25 PM,08:03 AM,06:30 PM,18,20,21,20,16,61,91,3.6,1025,23,7,61,10
2020-01-17,19,14,0.0,5.1,1,1,47,01:04 AM,01:02 PM,08:03 AM,06:31 PM,13,16,16,16,25,78,82,0.4,1025,19,10,93,17
2020-01-18,23,18,0.0,6.8,1,1,40,02:07 AM,01:40 PM,08:03 AM,06:32 PM,18,20,21,20,24,76,88,7.7,1021,23,9,224,14
2020-01-19,11,7,0.0,10.3,1,1,32,03:10 AM,02:19 PM,08:02 AM,06:33 PM,4,7,10,7,36,32,66,0.3,1027,11,9,18,26
2020-01-20,9,5,0.0,10.3,1,1,25,04:13 AM,03:03 PM,08:02 AM,06:34 PM,1,3,6,3,26,4,68,0.0,1031,9,10,126,18
2020-01-21,9,1,0.0,10.3,1,1,18,05:14 AM,03:50 PM,08:02 AM,06:35 PM,-1,2,5,2,19,27,68,0.0,1032,9,10,31,13
2020-01-22,11,3,0.0,6.8,1,1,11,06:13 AM,04:42 PM,08:02 AM,06:35 PM,3,4,7,4,24,78,73,1.0,1024,11,10,93,16
2020-01-23,19,11,0.0,6.8,1,1,3,07:08 AM,05:37 PM,08:01 AM,06:36 PM,12,13,14,13,30,68,88,4.5,1015,19,9,161,19
2020-01-24,16,8,0.0,10.4,1,1,0,07:58 AM,06:33 PM,08:01 AM,06:37 PM,7,11,12,11,21,10,71,0.0,1019,16,10,316,14
2020-01-25,16,7,0.0,10.4,1,1,0,08:42 AM,07:30 PM,08:01 AM,06:38 PM,5,10,11,10,15,10,67,0.0,1022,16,10,75,9
2020-01-26,13,10,0.0,5.2,1,1,4,09:21 AM,08:25 PM,08:00 AM,06:39 PM,11,11,13,11,21,87,91,12.0,1017,13,6,123,14
2020-01-27,18,12,0.0,10.4,1,1,11,09:56 AM,09:20 PM,08:00 AM,06:40 PM,12,13,14,13,14,43,88,0.0,1016,18,8,22,9
2020-01-28,17,10,0.0,10.8,1,1,18,10:28 AM,10:12 PM,07:59 AM,06:41 PM,11,12,13,12,22,26,84,0.0,1015,17,10,138,14
2020-01-29,15,11,0.0,5.4,1,1,26,10:59 AM,11:05 PM,07:59 AM,06:42 PM,11,12,13,12,23,85,88,5.1,1012,15,9,308,16
