date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,20,0.0,14.5,1,1,80,05:08 PM,02:50 AM,05:40 AM,08:02 PM,7,24,24,23,20,22,35,0.6,1008,27,10,243,15
2020-01-08,34,18,0.0,14.5,1,1,88,06:11 PM,03:32 AM,05:40 AM,08:02 PM,8,27,27,27,26,1,32,0.0,1008,34,10,187,17
2020-01-09,31,21,0.0,13.4,1,1,95,07:13 PM,04:20 AM,05:41 AM,08:02 PM,13,26,26,25,28,28,49,0.7,1007,31,10,220,20
2020-01-10,32,20,0.0,14.5,1,1,100,08:11 PM,05:16 AM,05:42 AM,08:02 PM,12,26,26,25,19,10,45,0.0,1010,32,10,144,14
2020-01-11,32,20,0.0,14.5,1,1,100,09:04 PM,06:19 AM,05:43 AM,08:02 PM,11,26,26,26,14,1,41,0.0,1012,32,10,157,10
2020-01-12,29,21,0.0,14.5,1,1,83,09:51 PM,07:27 AM,05:44 AM,08:02 PM,11,26,26,25,21,3,43,0.0,1015,29,10,150,16
2020-01-13,28,18,0.0,14.5,1,1,76,10:32 PM,08:37 AM,05:45 AM,08:01 PM,11,23,23,23,25,10,47,0.0,1017,28,10,94,19
2020-01-14,37,19,0.0,14.5,1,1,69,11:10 PM,09:47 AM,05:46 AM,08:01 PM,13,28,28,28,27,22,45,0.0,1009,37,10,14,19
2020-01-15,27,22,0.0,11.3,1,1,61,11:44 PM,10:56 AM,05:47 AM,08:01 PM,19,27,27,25,37,70,76,44.9,1005,27,8,251,23
2020-01-16,23,17,0.0,14.5,1,1,54,No moonrise,12:03 PM,05:48 AM,08:01 PM,4,20,20,20,26,1,37,0.0,1017,23,10,225,19
2020-01-17,25,18,0.0,14.5,1,1,47,12:17 AM,01:10 PM,05:49 AM,08:00 PM,6,21,21,21,14,0,40,0.0,1021,25,10,221,10
2020-01-18,32,15,0.0,14.5,1,1,40,12:51 AM,02:15 PM,05:50 AM,08:00 PM,9,23,23,23,18,4,42,0.0,1018,32,10,285,12
2020-01-19,34,21,0.0,14.5,1,1,32,01:27 AM,03:21 PM,05:51 AM,08:00 PM,11,27,27,26,21,11,40,0.0,1014,34,10,24,14
2020-01-20,34,22,0.0,14.1,1,1,25,02:06 AM,04:25 PM,05:52 AM,07:59 PM,16,30,30,28,19,10,48,0.0,1010,34,10,178,13
2020-01-21,32,23,0.0,14.1,1,1,18,02:49 AM,05:27 PM,05:53 AM,07:59 PM,17,28,28,27,20,8,55,0.0,1010,32,10,112,15
2020-01-22,29,21,0.0,13.4,1,1,11,03:37 AM,06:25 PM,05:54 AM,07:58 PM,17,27,27,25,25,30,64,0.1,1014,29,10,98,19
2020-01-23,32,20,0.0,14.0,1,1,3,04:29 AM,07:18 PM,05:55 AM,07:58 PM,15,26,26,26,19,4,56,0.0,1015,32,10,47,14
2020-01-24,33,19,0.0,14.0,1,1,0,05:26 AM,08:04 PM,05:56 AM,07:57 PM,15,27,27,27,21,2,54,0.0,1011,33,10,297,15
2020-01-25,31,22,0.0,14.0,1,1,0,06:23 AM,08:44 PM,05:57 AM,07:57 PM,12,27,27,26,24,6,43,0.0,1006,31,10,166,16
2020-01-26,30,21,0.0,14.0,1,1,4,07:22 AM,09:20 PM,05:58 AM,07:56 PM,12,26,26,25,18,18,45,0.0,1007,30,10,142,13
2020-01-27,22,18,0.0,12.2,1,1,11,08:19 AM,09:52 PM,05:59 AM,07:56 PM,11,21,22,21,24,28,54,0.0,1014,22,10,149,19
2020-01-28,31,14,0.0,13.6,1,1,18,09:15 AM,10:20 PM,06:00 AM,07:55 PM,6,22,22,21,16,2,40,0.0,1012,31,10,188,10
2020-01-29,32,21,0.0,11.6,1,1,26,10:10 AM,10:48 PM,06:01 AM,07:54 PM,13,25,25,24,25,25,52,0.0,1009,32,10,232,18
2020-01-30,23,19,0.0,11.6,1,1,33,11:05 AM,11:15 PM,06:02 AM,07:54 PM,12,20,21,20,24,35,59,9.2,1014,23,9,149,19
2020-01-31,28,15,0.0,11.6,1,1,37,12:00 PM,11:43 PM,06:03 AM,07:53 PM,8,21,21,22,14,0,46,0.0,1014,28,10,200,9
2020-02-01,31,17,0.0,11.6,1,1,49,12:55 PM,No moonset,06:04 AM,07:52 PM,13,24,24,24,19,1,54,0.0,1013,31,10,245,13
2020-02-02,34,20,0.0,11.6,1,1,57,01:52 PM,12:12 AM,06:05 AM,07:51 PM,13,28,28,27,20,5,45,0.0,1013,34,10,223,13
2020-02-03,34,22,0.0,11.6,1,1,64,02:51 PM,12:45 AM,06:06 AM,07:51 PM,15,29,29,28,26,3,48,0.0,1015,34,10,72,19
2020-02-04,36,22,0.0,11.6,1,1,72,03:52 PM,01:23 AM,06:07 AM,07:50 PM,17,30,30,28,32,12,55,0.0,1013,36,10,36,23
2020-02-05,34,23,0.0,10.4,1,1,79,04:54 PM,02:06 AM,06:08 AM,07:49 PM,17,30,30,29,31,39,53,0.0,1011,34,10,55,23
2020-02-06,34,23,0.0,7.9,1,1,87,05:54 PM,02:58 AM,06:09 AM,07:48 PM,19,30,30,29,29,62,58,7.0,1012,34,9,64,19
2020-02-07,32,26,0.0,6.7,1,1,95,06:49 PM,03:58 AM,06:10 AM,07:47 PM,21,31,31,28,23,64,64,3.0,1013,32,9,109,16
2020-02-08,24,20,0.0,10.4,1,1,100,07:40 PM,05:04 AM,06:11 AM,07:46 PM,17,24,24,23,27,60,72,0.3,1015,24,10,153,22
2020-02-09,22,17,0.0,9.1,1,1,100,08:25 PM,06:15 AM,06:12 AM,07:45 PM,12,20,20,20,27,55,60,0.1,1019,22,10,163,22
2020-02-10,22,17,0.0,9.1,1,1,83,09:05 PM,07:28 AM,06:13 AM,07:44 PM,10,19,21,19,17,49,56,0.2,1021,22,10,145,13
2020-02-11,27,16,0.0,11.6,1,1,75,09:42 PM,08:39 AM,06:14 AM,07:43 PM,12,22,22,21,19,10,57,0.0,1021,27,10,97,14
2020-02-12,28,17,0.0,11.6,1,1,68,10:17 PM,09:50 AM,06:15 AM,07:42 PM,13,23,23,23,24,12,56,0.0,1018,28,10,61,17
2020-02-13,33,19,0.0,11.6,1,1,60,10:51 PM,10:59 AM,06:16 AM,07:41 PM,13,25,25,25,22,7,52,0.0,1013,33,10,48,16
