date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,5,2,1.3,3.6,1,1,80,02:21 PM,04:06 AM,07:49 AM,05:09 PM,-2,2,3,2,9,95,68,0.5,1028,5,9,241,7
2020-01-08,5,0,0.6,7.0,1,1,88,03:01 PM,05:11 AM,07:49 AM,05:10 PM,-2,1,2,1,9,50,73,1.0,1029,5,8,212,6
2020-01-09,7,2,0.0,3.6,1,1,95,03:49 PM,06:16 AM,07:49 AM,05:11 PM,-9,3,4,3,9,67,39,0.0,1023,7,10,128,5
2020-01-10,8,3,0.0,5.3,1,1,100,04:45 PM,07:18 AM,07:49 AM,05:12 PM,-8,5,6,5,9,47,35,0.0,1019,8,10,181,5
2020-01-11,8,4,0.0,3.6,1,1,100,05:51 PM,08:15 AM,07:48 AM,05:13 PM,-3,5,6,5,15,88,51,0.0,1019,8,10,354,10
2020-01-12,6,2,2.2,3.6,1,1,83,07:02 PM,09:05 AM,07:48 AM,05:15 PM,2,3,4,3,11,94,83,8.3,1017,6,8,330,8
2020-01-13,1,-1,4.9,3.6,1,1,76,08:16 PM,09:48 AM,07:48 AM,05:16 PM,-2,-2,0,-2,9,99,86,3.7,1022,1,5,306,7
2020-01-14,5,-1,0.0,5.3,1,1,69,09:30 PM,10:24 AM,07:48 AM,05:17 PM,-4,1,2,1,3,52,69,0.0,1028,5,10,228,3
2020-01-15,5,-0,0.0,8.7,1,1,61,10:42 PM,10:57 AM,07:47 AM,05:18 PM,-5,1,2,1,6,24,61,0.0,1032,5,10,207,5
2020-01-16,4,-2,0.0,5.3,1,1,54,11:54 PM,11:27 AM,07:47 AM,05:19 PM,-6,-1,1,-1,10,51,60,0.0,1036,4,10,237,8
2020-01-17,6,-1,0.0,8.7,1,1,47,No moonrise,11:56 AM,07:46 AM,05:20 PM,-7,1,2,1,7,2,52,0.0,1037,6,10,15,6
2020-01-18,7,-1,0.0,8.7,1,1,40,01:05 AM,12:26 PM,07:46 AM,05:21 PM,-8,2,3,2,5,0,45,0.0,1027,7,10,135,5
2020-01-19,4,-0,0.1,5.3,1,1,32,02:15 AM,12:58 PM,07:45 AM,05:23 PM,-7,1,2,1,9,62,52,0.3,1022,4,9,153,6
2020-01-20,4,2,0.3,3.7,1,1,25,03:24 AM,01:34 PM,07:45 AM,05:24 PM,1,1,2,1,6,98,88,0.4,1025,4,8,126,4
2020-01-21,3,1,0.7,3.7,1,1,18,04:31 AM,02:15 PM,07:44 AM,05:25 PM,0,1,2,1,4,99,90,0.9,1025,3,7,157,3
2020-01-22,3,1,4.9,3.7,1,1,11,05:35 AM,03:02 PM,07:44 AM,05:26 PM,-1,-0,1,-0,7,82,88,5.8,1029,3,5,233,5
2020-01-23,11,1,0.0,8.7,1,1,3,06:33 AM,03:55 PM,07:43 AM,05:27 PM,-6,5,5,5,7,4,46,0.0,1024,11,10,162,5
2020-01-24,7,2,0.0,3.7,1,1,0,07:24 AM,04:52 PM,07:42 AM,05:29 PM,-3,2,5,2,21,73,56,2.2,1015,7,10,175,12
2020-01-25,8,2,1.4,3.7,1,1,0,08:08 AM,05:53 PM,07:41 AM,05:30 PM,2,3,5,3,14,94,82,5.3,1023,8,9,248,10
2020-01-26,7,1,6.0,7.0,1,1,4,08:44 AM,06:54 PM,07:41 AM,05:31 PM,-0,2,3,2,6,48,79,5.1,1025,7,8,216,5
