date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,11,6,0.0,8.7,1,1,80,02:13 PM,04:05 AM,07:38 AM,04:55 PM,-5,8,8,8,6,2,40,0.0,1026,11,10,221,4
2020-01-08,13,5,0.0,8.7,1,1,88,02:53 PM,05:10 AM,07:38 AM,04:56 PM,0,8,9,8,10,8,55,0.0,1028,13,10,245,7
2020-01-09,14,7,0.0,8.7,1,1,95,03:42 PM,06:15 AM,07:38 AM,04:57 PM,3,10,10,10,6,1,63,0.0,1028,14,10,211,5
2020-01-10,13,7,0.0,8.7,1,1,100,04:40 PM,07:17 AM,07:38 AM,04:58 PM,5,9,10,9,9,18,70,0.0,1025,13,10,32,6
2020-01-11,15,7,0.0,8.7,1,1,100,05:47 PM,08:13 AM,07:37 AM,04:59 PM,5,10,10,10,8,4,71,0.0,1026,15,10,133,5
2020-01-12,14,6,0.0,8.7,1,1,83,06:59 PM,09:01 AM,07:37 AM,05:00 PM,4,9,10,9,11,2,65,0.0,1026,14,10,116,7
2020-01-13,15,7,0.0,8.7,1,1,76,08:13 PM,09:43 AM,07:37 AM,05:01 PM,4,10,10,10,7,7,67,0.0,1025,15,10,109,4
2020-01-14,14,7,0.0,8.7,1,1,69,09:28 PM,10:18 AM,07:36 AM,05:02 PM,4,10,10,10,7,34,67,0.0,1025,14,10,240,5
2020-01-15,15,7,0.0,8.7,1,1,61,10:41 PM,10:49 AM,07:36 AM,05:03 PM,4,10,10,10,8,4,63,0.0,1028,15,10,228,5
2020-01-16,12,6,0.0,8.7,1,1,54,11:53 PM,11:19 AM,07:36 AM,05:05 PM,3,8,9,8,10,21,68,0.0,1029,12,10,232,7
2020-01-17,12,6,0.0,8.7,1,1,47,No moonrise,11:48 AM,07:35 AM,05:06 PM,4,8,9,8,8,27,71,0.0,1026,12,10,218,6
2020-01-18,13,9,0.0,3.6,1,1,40,01:04 AM,12:17 PM,07:35 AM,05:07 PM,6,10,10,10,13,74,76,13.2,1021,13,8,190,8
2020-01-19,12,6,0.0,7.0,1,1,32,02:14 AM,12:49 PM,07:34 AM,05:08 PM,5,8,9,8,11,46,75,0.6,1023,12,10,125,7
2020-01-20,12,7,0.0,5.3,1,1,25,03:24 AM,01:26 PM,07:33 AM,05:09 PM,1,8,9,8,15,52,57,0.0,1033,12,10,35,9
2020-01-21,15,6,0.0,8.7,1,1,18,04:30 AM,02:07 PM,07:33 AM,05:11 PM,2,9,10,9,11,37,59,0.0,1038,15,10,22,7
2020-01-22,14,8,0.0,8.7,1,1,11,05:34 AM,02:55 PM,07:32 AM,05:12 PM,5,11,11,11,6,15,65,0.0,1033,14,10,177,4
2020-01-23,17,8,0.0,8.7,1,1,3,06:31 AM,03:49 PM,07:31 AM,05:13 PM,6,12,12,12,5,3,67,0.0,1029,17,10,193,4
2020-01-24,14,10,0.0,8.7,1,1,0,07:21 AM,04:47 PM,07:31 AM,05:14 PM,6,11,12,11,13,28,70,0.0,1026,14,10,146,9
2020-01-25,14,10,0.0,3.7,1,1,0,08:03 AM,05:48 PM,07:30 AM,05:16 PM,8,10,12,10,20,67,79,3.3,1023,14,10,146,13
2020-01-26,13,9,0.0,7.0,1,1,4,08:38 AM,06:49 PM,07:29 AM,05:17 PM,7,10,11,10,9,36,79,0.4,1020,13,10,100,6
2020-01-27,15,8,0.0,8.7,1,1,11,09:09 AM,07:50 PM,07:28 AM,05:18 PM,6,11,11,11,9,27,75,0.0,1020,15,10,181,6
2020-01-28,12,10,0.0,3.7,1,1,18,09:36 AM,08:50 PM,07:27 AM,05:20 PM,8,10,11,10,17,89,82,2.8,1015,12,10,201,10
2020-01-29,15,10,0.0,8.7,1,1,26,10:00 AM,09:49 PM,07:27 AM,05:21 PM,8,12,13,12,10,17,74,0.1,1014,15,10,272,8
2020-01-30,14,8,0.0,8.7,1,1,33,10:24 AM,10:47 PM,07:26 AM,05:22 PM,6,10,11,10,13,38,70,0.1,1020,14,10,144,9
2020-01-31,13,10,0.0,5.4,1,1,37,10:47 AM,11:47 PM,07:25 AM,05:23 PM,7,11,12,11,12,66,74,0.0,1021,13,10,138,8
2020-02-01,15,10,0.0,3.8,1,1,49,11:11 AM,No moonset,07:24 AM,05:25 PM,9,12,12,12,9,85,82,0.0,1020,15,10,164,5
2020-02-02,16,11,0.0,8.7,1,1,57,11:38 AM,12:46 AM,07:23 AM,05:26 PM,10,12,13,12,13,66,83,0.0,1021,16,10,163,9
2020-02-03,18,11,0.0,8.7,1,1,64,12:08 PM,01:48 AM,07:22 AM,05:27 PM,10,13,14,13,8,13,80,0.0,1019,18,10,159,5
2020-02-04,18,10,0.0,8.7,1,1,72,12:44 PM,02:51 AM,07:21 AM,05:29 PM,5,12,13,12,27,28,66,0.1,1011,18,9,250,18
2020-02-05,12,7,0.0,8.7,1,1,79,01:28 PM,03:55 AM,07:19 AM,05:30 PM,-6,5,9,5,40,3,35,0.0,1017,12,10,354,27
2020-02-06,12,5,0.0,8.7,1,1,87,02:21 PM,04:58 AM,07:18 AM,05:31 PM,-8,5,8,5,29,3,33,0.0,1026,12,10,123,20
2020-02-07,14,5,0.0,8.7,1,1,95,03:24 PM,05:57 AM,07:17 AM,05:32 PM,-4,9,10,9,9,3,40,0.0,1027,14,10,214,6
2020-02-08,15,7,0.0,8.7,1,1,100,04:34 PM,06:49 AM,07:16 AM,05:34 PM,-1,9,10,9,8,17,47,0.0,1028,15,10,150,5
2020-02-09,14,8,0.0,7.1,1,1,100,05:50 PM,07:35 AM,07:15 AM,05:35 PM,4,10,10,10,12,67,63,0.0,1030,14,10,164,8
