date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,26,14,0.0,7.3,1,1,80,03:39 PM,03:42 AM,06:47 AM,06:20 PM,19,22,22,20,5,46,83,2.0,1013,26,10,73,4
2020-01-08,27,14,0.0,8.7,1,1,88,04:30 PM,04:36 AM,06:48 AM,06:20 PM,19,23,23,21,8,40,84,1.4,1015,27,10,85,6
2020-01-09,23,12,0.0,8.7,1,1,95,05:26 PM,05:33 AM,06:48 AM,06:21 PM,17,19,20,19,11,64,82,1.4,1015,23,10,67,8
2020-01-10,20,12,0.0,5.9,1,1,100,06:25 PM,06:32 AM,06:48 AM,06:21 PM,16,18,18,18,16,73,86,4.0,1014,20,10,92,9
2020-01-11,21,14,0.0,5.9,1,1,100,07:27 PM,07:31 AM,06:49 AM,06:22 PM,16,18,19,18,14,63,83,1.4,1015,21,10,86,9
2020-01-12,26,11,0.0,7.3,1,1,83,08:28 PM,08:28 AM,06:49 AM,06:23 PM,18,19,20,19,11,65,85,1.8,1015,26,9,78,8
2020-01-13,24,10,0.0,5.9,1,1,76,09:28 PM,09:22 AM,06:49 AM,06:23 PM,18,19,20,19,11,64,87,4.0,1015,24,10,82,8
2020-01-14,23,13,0.0,7.3,1,1,69,10:25 PM,10:12 AM,06:49 AM,06:24 PM,17,18,19,18,7,57,84,2.7,1013,23,10,78,5
2020-01-15,24,16,0.0,5.9,1,1,61,11:21 PM,10:59 AM,06:50 AM,06:24 PM,17,19,19,19,11,66,88,7.1,1013,24,9,103,6
2020-01-16,20,17,0.0,5.9,1,1,54,No moonrise,11:45 AM,06:50 AM,06:25 PM,17,19,19,19,13,73,92,11.5,1014,20,10,106,7
2020-01-17,22,16,0.0,7.3,1,1,47,12:14 AM,12:30 PM,06:50 AM,06:25 PM,17,18,19,18,11,58,87,4.5,1014,22,9,113,6
2020-01-18,20,15,0.0,5.9,1,1,40,01:09 AM,01:17 PM,06:50 AM,06:26 PM,17,18,18,18,13,72,92,4.7,1015,20,6,81,7
2020-01-19,25,14,0.0,5.9,1,1,32,02:03 AM,02:04 PM,06:50 AM,06:26 PM,19,20,21,20,10,67,88,1.6,1014,25,8,104,7
2020-01-20,28,15,0.0,8.7,1,1,25,02:58 AM,02:53 PM,06:50 AM,06:27 PM,20,23,23,21,7,53,85,1.5,1013,28,10,115,5
2020-01-21,26,16,0.0,8.7,1,1,18,03:55 AM,03:46 PM,06:51 AM,06:27 PM,20,22,22,20,7,68,89,6.9,1012,26,8,98,5
2020-01-22,28,15,0.0,8.7,1,1,11,04:50 AM,04:39 PM,06:51 AM,06:27 PM,19,23,23,21,4,54,86,3.6,1011,28,10,86,3
2020-01-23,24,19,0.0,11.6,1,1,3,05:45 AM,05:33 PM,06:51 AM,06:28 PM,17,22,22,21,5,13,78,0.0,1011,24,10,121,3
2020-01-24,28,17,0.0,11.6,1,1,0,06:37 AM,06:26 PM,06:51 AM,06:28 PM,17,24,24,22,4,3,70,0.0,1012,28,10,20,3
2020-01-25,29,17,0.0,11.6,1,1,0,07:26 AM,07:18 PM,06:51 AM,06:29 PM,17,25,25,22,2,17,70,0.1,1013,29,10,57,2
2020-01-26,28,15,0.0,5.9,1,1,4,08:11 AM,08:07 PM,06:51 AM,06:29 PM,19,22,22,21,3,65,82,4.7,1013,28,10,72,2
2020-01-27,24,17,0.0,5.9,1,1,11,08:53 AM,08:55 PM,06:51 AM,06:30 PM,18,20,21,20,5,81,85,8.4,1013,24,9,86,3
2020-01-28,28,16,0.0,11.6,1,1,18,09:33 AM,09:41 PM,06:51 AM,06:30 PM,17,22,22,21,5,14,72,0.1,1013,28,10,54,3
2020-01-29,24,14,0.0,10.2,1,1,26,10:10 AM,10:25 PM,06:51 AM,06:30 PM,18,22,22,21,6,26,82,2.4,1013,24,10,48,4
2020-01-30,25,17,0.0,8.8,1,1,33,10:47 AM,11:10 PM,06:51 AM,06:31 PM,18,21,21,21,6,43,85,3.5,1013,25,10,66,4
2020-01-31,24,17,0.0,8.8,1,1,37,11:25 AM,11:54 PM,06:51 AM,06:31 PM,18,22,22,20,9,46,84,1.9,1014,24,10,96,6
2020-02-01,28,17,0.0,10.2,1,1,49,12:03 PM,No moonset,06:51 AM,06:32 PM,19,25,25,23,8,32,80,0.3,1014,28,10,90,6
2020-02-02,29,17,0.0,8.8,1,1,57,12:44 PM,12:41 AM,06:51 AM,06:32 PM,18,23,23,22,6,45,79,0.7,1014,29,10,68,5
2020-02-03,24,16,0.0,11.6,1,1,64,01:28 PM,01:30 AM,06:50 AM,06:32 PM,15,20,21,20,10,10,76,0.0,1015,24,10,95,6
2020-02-04,24,15,0.0,11.6,1,1,72,02:16 PM,02:21 AM,06:50 AM,06:33 PM,14,19,20,19,11,10,74,0.0,1015,24,10,86,6
2020-02-05,23,14,0.0,11.6,1,1,79,03:09 PM,03:16 AM,06:50 AM,06:33 PM,14,18,19,18,12,19,79,0.0,1014,23,10,101,7
2020-02-06,24,18,0.0,11.6,1,1,87,04:06 PM,04:14 AM,06:50 AM,06:33 PM,15,22,22,21,12,22,75,0.1,1014,24,10,120,8
2020-02-07,24,16,0.0,11.6,1,1,95,05:08 PM,05:13 AM,06:50 AM,06:33 PM,15,22,22,21,10,9,74,0.0,1014,24,10,99,7
2020-02-08,26,19,0.0,10.2,1,1,100,06:10 PM,06:11 AM,06:50 AM,06:34 PM,17,23,23,22,9,36,78,0.2,1015,26,9,77,7
2020-02-09,22,15,0.0,5.9,1,1,100,07:12 PM,07:08 AM,06:49 AM,06:34 PM,15,18,18,18,9,58,85,3.7,1015,22,10,65,5
2020-02-10,24,15,0.0,8.8,1,1,83,08:12 PM,08:01 AM,06:49 AM,06:34 PM,14,18,18,18,11,49,82,0.7,1015,24,9,88,6
2020-02-11,23,14,0.0,8.8,1,1,75,09:10 PM,08:51 AM,06:49 AM,06:35 PM,14,19,19,19,12,45,79,0.3,1014,23,10,106,7
2020-02-12,22,16,0.0,7.3,1,1,68,10:07 PM,09:40 AM,06:49 AM,06:35 PM,15,18,19,18,14,60,84,4.1,1014,22,8,89,7
2020-02-13,22,15,0.0,7.4,1,1,60,11:03 PM,10:27 AM,06:48 AM,06:35 PM,15,18,19,18,14,59,84,5.2,1013,22,10,87,7
2020-02-14,25,15,0.0,5.9,1,1,53,11:59 PM,11:14 AM,06:48 AM,06:35 PM,18,19,20,19,11,70,86,10.3,1014,25,9,89,7
