date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,21,0.0,4.1,1,1,80,02:29 PM,02:59 AM,06:35 AM,05:30 PM,19,26,26,23,11,68,78,0.7,1016,27,10,161,8
2020-01-08,28,21,0.0,5.6,1,1,88,03:16 PM,03:55 AM,06:35 AM,05:31 PM,19,25,25,24,20,52,75,0.9,1016,28,10,154,14
2020-01-09,28,21,0.0,4.1,1,1,95,04:07 PM,04:53 AM,06:35 AM,05:32 PM,19,26,26,24,16,62,74,0.2,1015,28,10,159,11
2020-01-10,27,21,0.0,8.7,1,1,100,05:05 PM,05:53 AM,06:35 AM,05:32 PM,19,25,25,24,21,30,75,0.0,1013,27,10,169,15
2020-01-11,26,15,0.0,5.6,1,1,100,06:07 PM,06:52 AM,06:36 AM,05:33 PM,16,23,23,22,18,65,75,1.6,1014,26,9,128,14
2020-01-12,18,15,0.0,4.1,1,1,83,07:11 PM,07:48 AM,06:36 AM,05:34 PM,10,16,16,16,14,90,66,1.2,1017,18,7,51,11
2020-01-13,21,17,0.0,4.1,1,1,76,08:15 PM,08:40 AM,06:36 AM,05:34 PM,15,19,19,19,10,94,77,0.2,1015,21,10,127,8
2020-01-14,25,20,0.0,4.1,1,1,69,09:18 PM,09:28 AM,06:36 AM,05:35 PM,18,23,23,22,19,81,80,0.2,1014,25,10,157,14
2020-01-15,26,22,0.0,4.1,1,1,61,10:19 PM,10:12 AM,06:36 AM,05:36 PM,18,25,25,23,30,78,75,0.2,1014,26,10,162,21
2020-01-16,26,19,0.0,4.1,1,1,54,11:19 PM,10:54 AM,06:36 AM,05:36 PM,18,24,24,22,22,87,77,2.2,1015,26,10,145,16
2020-01-17,18,15,0.0,4.1,1,1,47,No moonrise,11:35 AM,06:36 AM,05:37 PM,12,16,17,16,14,98,75,2.4,1019,18,9,44,11
2020-01-18,18,13,0.0,4.1,1,1,40,12:17 AM,12:15 PM,06:36 AM,05:38 PM,13,17,17,17,10,99,77,0.9,1018,18,8,50,8
2020-01-19,15,9,0.0,4.1,1,1,32,01:16 AM,12:58 PM,06:36 AM,05:38 PM,10,14,15,14,14,98,71,0.4,1020,15,8,25,11
2020-01-20,18,15,0.0,4.1,1,1,25,02:15 AM,01:43 PM,06:36 AM,05:39 PM,11,16,16,16,8,99,72,0.0,1020,18,10,56,6
2020-01-21,24,17,0.0,4.1,1,1,18,03:14 AM,02:31 PM,06:36 AM,05:40 PM,16,20,21,20,14,80,80,0.0,1019,24,10,146,10
2020-01-22,25,20,0.0,4.1,1,1,11,04:12 AM,03:22 PM,06:36 AM,05:40 PM,19,23,23,22,20,84,81,0.2,1016,25,10,156,14
2020-01-23,24,21,0.0,4.1,1,1,3,05:08 AM,04:15 PM,06:36 AM,05:41 PM,19,25,25,23,20,84,80,0.2,1014,24,10,144,14
2020-01-24,23,22,0.0,4.1,1,1,0,06:01 AM,05:10 PM,06:36 AM,05:42 PM,20,25,25,22,21,95,86,2.5,1014,23,10,139,14
2020-01-25,20,10,0.0,4.2,1,1,0,06:50 AM,06:05 PM,06:35 AM,05:42 PM,15,17,18,17,30,99,85,11.7,1014,20,9,39,21
2020-01-26,19,14,0.0,8.7,1,1,4,07:35 AM,06:58 PM,06:35 AM,05:43 PM,8,16,16,16,19,59,60,0.1,1017,19,10,19,14
2020-01-27,16,12,0.0,4.2,1,1,11,08:15 AM,07:50 PM,06:35 AM,05:44 PM,8,14,15,14,14,85,61,0.0,1016,16,10,26,10
2020-01-28,19,14,0.0,4.2,1,1,18,08:52 AM,08:40 PM,06:35 AM,05:44 PM,8,16,16,16,13,92,61,0.3,1018,19,9,52,10
2020-01-29,18,13,0.0,5.7,1,1,26,09:27 AM,09:29 PM,06:34 AM,05:45 PM,7,15,15,15,17,70,59,1.5,1022,18,7,18,13
2020-01-30,21,13,0.0,8.7,1,1,33,10:00 AM,10:17 PM,06:34 AM,05:46 PM,7,17,17,17,13,35,54,0.0,1022,21,10,57,10
2020-01-31,21,15,0.0,5.7,1,1,37,10:33 AM,11:06 PM,06:34 AM,05:46 PM,10,18,17,18,12,54,60,0.0,1020,21,10,144,9
