date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-07,27,25,0.0,6.0,1,1,80,04:05 PM,03:43 AM,07:09 AM,07:12 PM,23,29,29,26,29,75,85,9.6,1010,27,9,238,19
2020-01-08,29,25,0.0,7.4,1,1,88,04:56 PM,04:32 AM,07:09 AM,07:13 PM,23,30,30,27,26,59,82,4.2,1009,29,10,20,18
2020-01-09,29,26,0.0,6.0,1,1,95,05:52 PM,05:27 AM,07:10 AM,07:13 PM,23,30,30,27,28,68,83,3.8,1009,29,10,25,19
2020-01-10,30,26,0.0,6.0,1,1,100,06:50 PM,06:24 AM,07:10 AM,07:13 PM,23,31,31,27,28,70,80,13.8,1009,30,9,126,18
2020-01-11,29,26,0.0,6.0,1,1,100,07:51 PM,07:24 AM,07:11 AM,07:14 PM,23,30,30,27,18,64,81,16.3,1009,29,9,296,12
2020-01-12,30,25,0.0,8.8,1,1,83,08:50 PM,08:23 AM,07:11 AM,07:14 PM,23,30,30,27,21,48,80,1.2,1009,30,10,15,15
2020-01-13,29,25,0.0,6.0,1,1,76,09:47 PM,09:21 AM,07:11 AM,07:15 PM,23,30,30,27,24,61,78,0.7,1009,29,10,27,17
2020-01-14,30,25,0.0,10.2,1,1,69,10:42 PM,10:16 AM,07:12 AM,07:15 PM,23,30,30,27,28,50,79,0.2,1009,30,10,27,20
2020-01-15,29,26,0.0,8.8,1,1,61,11:35 PM,11:09 AM,07:12 AM,07:15 PM,23,30,30,27,30,58,79,1.7,1010,29,10,27,21
2020-01-16,30,25,0.0,10.2,1,1,54,No moonrise,11:59 AM,07:12 AM,07:16 PM,23,30,30,27,25,49,78,1.7,1010,30,10,30,18
2020-01-17,30,25,0.0,11.6,1,1,47,12:25 AM,12:48 PM,07:13 AM,07:16 PM,23,31,31,27,27,32,78,0.0,1011,30,10,26,19
2020-01-18,29,26,0.0,6.0,1,1,40,01:15 AM,01:38 PM,07:13 AM,07:16 PM,24,31,31,27,26,72,81,8.8,1010,29,10,36,18
2020-01-19,30,26,0.0,8.8,1,1,32,02:06 AM,02:27 PM,07:13 AM,07:17 PM,24,31,31,28,25,53,79,3.6,1010,30,10,60,18
2020-01-20,30,26,0.0,7.4,1,1,25,02:58 AM,03:19 PM,07:14 AM,07:17 PM,24,31,31,28,29,66,79,7.1,1011,30,9,36,20
2020-01-21,29,26,0.0,6.0,1,1,18,03:51 AM,04:12 PM,07:14 AM,07:17 PM,24,31,31,27,34,62,80,5.0,1012,29,8,41,23
2020-01-22,30,27,0.0,11.6,1,1,11,04:45 AM,05:06 PM,07:14 AM,07:18 PM,23,31,31,28,29,31,77,0.0,1011,30,10,35,21
2020-01-23,30,26,0.0,7.4,1,1,3,05:40 AM,06:01 PM,07:15 AM,07:18 PM,23,31,31,27,26,56,79,3.0,1010,30,10,34,19
2020-01-24,30,26,0.0,11.6,1,1,0,06:33 AM,06:54 PM,07:15 AM,07:18 PM,22,30,30,27,28,24,75,0.0,1011,30,10,28,21
2020-01-25,30,25,0.0,11.6,1,1,0,07:25 AM,07:45 PM,07:15 AM,07:19 PM,22,30,30,27,23,30,75,0.0,1010,30,10,40,17
2020-01-26,30,26,0.0,11.6,1,1,4,08:14 AM,08:33 PM,07:15 AM,07:19 PM,23,31,31,28,21,29,76,0.1,1009,30,10,50,16
2020-01-27,30,26,0.0,8.8,1,1,11,09:00 AM,09:19 PM,07:15 AM,07:19 PM,23,31,31,27,21,67,78,0.6,1010,30,10,38,15
2020-01-28,30,26,0.0,8.8,1,1,18,09:44 AM,10:02 PM,07:16 AM,07:19 PM,24,32,32,28,22,61,79,8.1,1010,30,9,71,15
2020-01-29,29,23,0.0,6.0,1,1,26,10:25 AM,10:43 PM,07:16 AM,07:19 PM,23,30,30,27,23,67,80,31.2,1011,29,7,216,14
2020-01-30,30,25,0.0,10.2,1,1,33,11:06 AM,11:25 PM,07:16 AM,07:20 PM,23,30,30,27,25,51,78,1.5,1010,30,10,149,17
2020-01-31,30,26,0.0,10.2,1,1,37,11:46 AM,No moonset,07:16 AM,07:20 PM,23,31,31,28,31,38,74,0.2,1010,30,10,45,22
2020-02-01,30,26,0.0,10.2,1,1,49,12:26 PM,12:06 AM,07:16 AM,07:20 PM,23,31,31,28,31,53,77,0.5,1011,30,10,54,22
2020-02-02,29,26,0.0,7.4,1,1,57,01:09 PM,12:48 AM,07:16 AM,07:20 PM,23,30,30,27,34,60,77,4.8,1011,29,10,29,24
2020-02-03,30,26,0.0,10.2,1,1,64,01:54 PM,01:33 AM,07:16 AM,07:20 PM,22,30,30,27,31,32,74,0.1,1012,30,10,32,22
2020-02-04,30,25,0.0,11.6,1,1,72,02:43 PM,02:20 AM,07:17 AM,07:20 PM,22,30,30,27,25,23,75,0.0,1011,30,10,40,18
2020-02-05,30,25,0.0,10.2,1,1,79,03:36 PM,03:12 AM,07:17 AM,07:21 PM,23,30,30,27,26,42,76,0.2,1010,30,10,29,19
2020-02-06,30,26,0.0,11.6,1,1,87,04:32 PM,04:07 AM,07:17 AM,07:21 PM,23,30,30,27,27,36,76,0.1,1010,30,10,29,19
2020-02-07,31,26,0.0,11.6,1,1,95,05:32 PM,05:05 AM,07:17 AM,07:21 PM,22,30,30,28,31,32,73,0.0,1011,31,10,30,23
2020-02-08,30,25,0.0,11.6,1,1,100,06:32 PM,06:05 AM,07:17 AM,07:21 PM,22,30,30,28,24,36,71,0.0,1011,30,10,31,18
2020-02-09,29,25,0.0,6.0,1,1,100,07:32 PM,07:05 AM,07:17 AM,07:21 PM,23,30,30,27,32,67,81,39.3,1011,29,7,350,18
2020-02-10,28,26,0.0,6.0,1,1,83,08:29 PM,08:02 AM,07:17 AM,07:21 PM,24,30,30,27,31,78,84,45.9,1011,28,7,139,17
2020-02-11,29,26,0.0,6.0,1,1,75,09:25 PM,08:58 AM,07:17 AM,07:21 PM,24,31,31,27,24,73,82,13.1,1011,29,9,51,15
2020-02-12,29,26,0.0,6.0,1,1,68,10:18 PM,09:51 AM,07:17 AM,07:21 PM,24,31,31,27,29,71,83,28.4,1012,29,8,47,17
2020-02-13,30,26,0.0,6.0,1,1,60,11:10 PM,10:42 AM,07:17 AM,07:21 PM,24,31,31,28,25,65,79,0.8,1011,30,10,39,18
2020-02-14,30,26,0.0,11.6,1,1,53,No moonrise,11:34 AM,07:17 AM,07:21 PM,23,31,31,27,24,22,78,0.0,1010,30,10,49,17
2020-02-15,31,26,0.0,11.6,1,1,45,12:02 AM,12:24 PM,07:17 AM,07:21 PM,23,31,31,27,18,19,76,0.0,1011,31,10,67,13
2020-02-16,30,25,0.0,10.2,1,1,38,12:54 AM,01:16 PM,07:17 AM,07:21 PM,23,30,30,27,19,38,77,1.0,1012,30,10,71,13
2020-02-17,32,25,0.0,11.6,1,1,30,01:48 AM,02:09 PM,07:16 AM,07:21 PM,22,31,31,28,22,16,73,0.0,1012,32,10,34,16
2020-02-18,30,27,0.0,6.0,1,1,22,02:41 AM,03:02 PM,07:16 AM,07:21 PM,23,31,31,28,26,72,75,5.9,1012,30,9,55,18
2020-02-19,30,26,0.0,7.4,1,1,15,03:35 AM,03:56 PM,07:16 AM,07:21 PM,23,31,31,28,33,66,77,3.5,1012,30,10,32,24
2020-02-20,30,26,0.0,7.4,1,1,7,04:28 AM,04:49 PM,07:16 AM,07:21 PM,23,31,31,28,35,66,77,2.0,1011,30,10,28,26
2020-02-21,29,26,0.0,6.0,1,1,0,05:20 AM,05:40 PM,07:16 AM,07:21 PM,23,30,30,27,39,68,80,9.5,1012,29,10,30,26
2020-02-22,29,26,0.0,8.8,1,1,0,06:09 AM,06:28 PM,07:16 AM,07:21 PM,23,31,31,27,38,61,77,2.8,1013,29,10,39,27
2020-02-23,30,26,0.0,6.0,1,1,0,06:56 AM,07:15 PM,07:16 AM,07:21 PM,23,31,31,28,32,81,76,1.5,1012,30,10,30,23
2020-02-24,29,26,0.0,7.4,1,1,0,07:40 AM,07:58 PM,07:15 AM,07:20 PM,23,30,30,27,35,58,79,8.2,1011,29,9,37,24
2020-02-25,30,26,0.0,6.0,1,1,8,08:22 AM,08:41 PM,07:15 AM,07:20 PM,23,30,30,27,27,55,75,0.5,1010,30,10,36,18
2020-02-26,30,26,0.0,8.8,1,1,15,09:03 AM,09:22 PM,07:15 AM,07:20 PM,23,31,31,28,25,43,76,0.6,1010,30,10,33,18
2020-02-27,30,26,0.0,8.8,1,1,23,09:44 AM,10:03 PM,07:15 AM,07:20 PM,23,31,31,28,27,49,78,0.2,1010,30,10,40,20
2020-02-28,30,26,0.0,10.2,1,1,30,10:23 AM,10:45 PM,07:15 AM,07:20 PM,23,31,31,28,28,40,76,0.1,1009,30,10,36,20
2020-02-29,30,26,0.0,11.6,1,1,38,11:05 AM,11:28 PM,07:15 AM,07:20 PM,22,30,30,27,27,16,74,0.0,1009,30,10,46,20
2020-03-01,31,25,0.0,11.6,1,1,44,11:49 AM,No moonset,07:14 AM,07:20 PM,22,30,30,27,26,22,76,0.0,1009,31,10,37,19
2020-03-02,31,25,0.0,11.6,1,1,51,12:34 PM,12:13 AM,07:14 AM,07:19 PM,23,31,31,28,25,19,77,0.0,1009,31,10,40,18
2020-03-03,31,26,0.0,11.6,1,1,58,01:24 PM,01:02 AM,07:14 AM,07:19 PM,23,32,32,28,26,19,75,0.0,1009,31,10,39,19
2020-03-04,31,26,0.0,10.2,1,1,65,02:17 PM,01:53 AM,07:14 AM,07:19 PM,24,32,32,28,23,50,78,0.4,1010,31,10,47,17
2020-03-05,30,26,0.0,8.8,1,1,73,03:14 PM,02:48 AM,07:13 AM,07:19 PM,24,31,31,28,23,52,79,20.3,1010,30,8,62,14
2020-03-06,30,26,0.0,7.4,1,1,80,04:12 PM,03:46 AM,07:13 AM,07:19 PM,23,31,31,27,18,67,78,3.6,1011,30,8,141,13
2020-03-07,32,26,0.0,10.2,1,1,87,05:12 PM,04:45 AM,07:13 AM,07:18 PM,24,32,32,28,22,51,77,1.3,1011,32,10,50,16
2020-03-08,32,26,0.0,11.6,1,1,95,06:10 PM,05:44 AM,07:12 AM,07:18 PM,23,32,32,28,15,44,76,2.3,1010,32,10,200,11
2020-03-09,31,26,0.0,11.6,1,1,100,07:07 PM,06:40 AM,07:12 AM,07:18 PM,23,32,32,28,12,32,75,0.2,1009,31,10,94,9
2020-03-10,30,26,0.0,8.8,1,1,100,08:03 PM,07:36 AM,07:12 AM,07:18 PM,23,32,32,28,16,59,75,0.8,1009,30,10,90,12
2020-03-11,32,26,0.0,10.2,1,1,84,08:57 PM,08:29 AM,07:12 AM,07:18 PM,23,32,32,28,26,23,74,0.2,1009,32,10,38,18
2020-03-12,31,26,0.0,8.8,1,1,76,09:51 PM,09:22 AM,07:11 AM,07:17 PM,23,32,32,28,26,53,75,0.2,1011,31,10,39,19
2020-03-13,31,27,0.0,11.6,1,1,69,10:45 PM,10:15 AM,07:11 AM,07:17 PM,24,33,33,29,20,23,76,0.0,1011,31,10,69,15
2020-03-14,31,27,0.0,7.4,1,1,62,11:40 PM,11:08 AM,07:11 AM,07:17 PM,24,33,33,28,22,46,76,0.2,1010,31,10,68,16
2020-03-15,31,27,0.0,10.2,1,1,55,No moonrise,12:03 PM,07:10 AM,07:17 PM,23,32,32,28,24,39,75,1.9,1010,31,10,66,17
2020-03-16,31,27,0.0,10.2,1,1,47,12:35 AM,12:58 PM,07:10 AM,07:16 PM,23,32,32,28,28,52,76,0.9,1011,31,10,46,21
